"Translation Info:
#---------------------------
15,2,8,"Mayroon sa mga [mapagpaimbabaw] tao na nagsasabi: “Sumampalataya kami kay Allāh at sa Huling Araw,” samantalang hindi sila mga mananampalataya.",""
16,2,9,"Nagtatangka silang mandaya kay Allāh at sa mga sumampalataya samantalang hindi sila nandaraya maliban sa mga sarili nila habang hindi nila nararamdaman.",""
17,2,10,"Sa mga puso nila ay may sakit [ng pagdududa], at nagdagdag pa sa kanila si Allāh ng sakit. Ukol sa kanila ay isang pagdurusang masakit dahil sila dati ay nagsisinungaling.",""
18,2,11,"Kapag sinabi sa kanila: “Huwag kayong tagagulo sa lupa,” nagsasabi sila: “Kami ay mga tagapagsaayos lamang.”",""
19,2,12,"Pansinin, tunay na sila ay ang mga tagapagtiwali subalit hindi sila nakararamdam.",""
20,2,13,"Kapag sinabi sa kanila: “Sumampalataya kayo kung paanong sumampalataya ang mga [maaayos na] tao” ay nagsasabi sila: “Sasampalataya ba kami kung paanong sumampalataya ang mga hunghang?” Pansinin, tunay na sila ay ang mga hunghang subalit hindi nila nalalaman.",""
21,2,14,"Kapag nakipagkita sila sa mga sumampalataya ay nagsasabi sila: “Sumampalataya kami [gaya ninyo],” ngunit kapag nakipagsarilinan sila sa mga demonyo [na pinuno] nila ay nagsasabi sila: “Tunay na kami ay kasama sa inyo; kami ay mga nangungutya lamang.”",""
22,2,15,"Si Allāh ay nangungutya sa kanila at nagpapalawig sa kanila sa pagmamalabis nila habang nag-aapuhap sila.",""
23,2,16,"Ang mga iyon ay ang mga bumili ng kaligawan kapalit ng patnubay kaya hindi tumubo ang kalakalan[6] nila. Hindi sila noon mga napatnubayan.","[6] O pakikipagkalakalan."
24,2,17,"Ang paghahalintulad sa kanila ay gaya ng paghahalintulad sa nagpaningas ng apoy, ngunit noong tumanglaw ito sa nasa palibot niya ay nag-alis si Allāh sa liwanag nila at nag-iwan Siya[7] sa kanila sa mga kadiliman habang hindi sila nakakikita.","[7] Sa saling ito, ang mga panghalip na nagsisimula sa malaking titik gaya ng Ako, Kami, Siya, at Ikaw ay tumutukoy kay Allāh. Ang paggamit ni Allāh ng panghalip na maramihan ay ang tinatawag sa retorika na pluralis majestatis o pangmaramihan ng kamahalan."
25,2,18,"Mga bingi, na mga pipi, na mga bulag, kaya sila ay hindi bumabalik [mula sa pagkaligaw].",""
26,2,19,"O gaya ng isang unos mula sa langit, na sa loob nito ay mga kadiliman, kulog, at kidlat. Naglalagay sila ng mga daliri nila sa mga tainga nila dahil sa mga lintik dala ng hilakbot sa kamatayan. Si Allāh ay Tagapaligid sa mga tagatangging sumampalataya.",""
27,2,20,"Halos ang kidlat ay tumangay sa mga paningin nila. Tuwing tumanglaw ito [sa daan] para sa kanila ay naglalakad sila rito at kapag nagpadilim ito sa ibabaw nila ay tumatayo sila. Kung sakaling niloob ni Allāh ay talaga sanang nag-alis Siya ng pandinig nila at mga paningin nila. Tunay na si Allāh sa bawat bagay ay May-kakayahan.",""
28,2,21,"O mga tao, sumamba kayo sa Panginoon ninyo na lumikha sa inyo at sa bago pa ninyo, nang sa gayon kayo ay mangingilag magkasala,",""
29,2,22,"na gumawa para sa inyo ng lupa bilang himlayan[8] at ng langit bilang silong, at nagpababa mula sa langit ng tubig kaya nagpalabas Siya sa pamamagitan nito ng mga bunga bilang panustos para sa inyo. Kaya huwag kayong gumawa para kay Allāh ng mga kaagaw samantalang kayo ay nakaaalam [na walang Tagalikha kundi si Allāh].","[8] O higaan o nakalatag."
30,2,23,"Kung kayo ay nasa isang pag-aalinlangan sa ibinaba Namin sa Lingkod[9] Namin, maglahad kayo ng isang kabanata kabilang sa tulad nito at tumawag kayo ng mga saksi ninyo bukod pa kay Allāh kung kayo ay mga tapat.","[9] Ang Lingkod na may malaking L ay tumutukoy kay Propeta Muḥammad (s)."
31,2,24,"Ngunit kung hindi kayo nakagawa – at hindi kayo makagagawa – ay mangilag kayo sa Apoy na ang panggatong nito ay ang mga tao at ang mga bato [na sinasamba]. Inihanda ito para sa mga tagatangging sumampalataya.",""
32,2,25,"Magbalita ka ng nakagagalak sa mga sumampalataya at gumawa ng mga maayos na ukol sa kanila ay mga Hardin na dumadaloy mula sa ilalim ng mga ito ang mga ilog. Sa tuwing tinutustusan sila mula sa mga ito ng bunga bilang panustos ay nagsasabi sila: “Ito ay ang itinustos sa amin bago pa niyan.” Bibigyan sila nito na nagkakawangisan [na nagkakaiba sa lasa]. Ukol sa kanila roon ay mga asawang dinalisay at sila ay doon mga mananatili.",""
33,2,26,"Tunay na si Allāh ay hindi nahihiya na maglahad ng isang anumang paghahalintulad na isang lamok man saka anumang higit dito. Hinggil naman sa mga sumampalataya, nakaaalam sila na ito ay ang katotohanan mula sa Panginoon nila. Hinggil naman sa mga tumangging sumampalataya, nagsasabi sila: “Ano ang ninais ni Allāh rito bilang paghahalintulad, na nagliligaw Siya sa pamamagitan nito sa marami at nagpapatnubay Siya sa pamamagitan nito sa marami, samantalang hindi Siya nagliligaw sa pamamagitan nito kundi sa mga suwail.",""
34,2,27,"Ang mga kumakalas sa kasunduan kay Allāh matapos na ng pagtitibay nito, pumuputol sa ipinag-utos ni Allāh na iugnay, at nanggugulo sa lupa, ang mga iyon ay ang mga lugi.",""
35,2,28,"Papaano kayong tumatangging sumampalataya kay Allāh samantalang kayo noon ay mga patay at nagbigay-buhay Siya sa inyo, pagkatapos magbibigay-kamatayan Siya sa inyo, pagkatapos magbibigay-buhay Siya sa inyo, pagkatapos tungo sa Kanya pababalikin kayo [para tuusin].",""
36,2,29,"Siya ay ang lumikha para sa inyo ng nasa lupa nang lahatan. Pagkatapos lumuklok Siya sa langit at bumuo Siya sa mga ito bilang pitong langit. Siya sa bawat bagay ay Maalam.",""
37,2,30,"[Banggitin] noong nagsabi ang Panginoon mo sa mga anghel: “Tunay na Ako ay maglalagay sa lupa ng isang kahalili.” Nagsabi sila: “Maglalagay Ka ba roon ng manggugulo roon at magpapadanak ng mga dugo samantalang kami ay nagluluwalhati sa kapurihan Mo at nagpapabanal sa Iyo?” Nagsabi Siya: “Tunay na ako ay nakaaalam ng hindi ninyo nalalaman.”",""
38,2,31,"Nagturo Siya kay Adan ng mga pangalan sa kalahatan ng mga ito. Pagkatapos naglahad Siya sa mga ito sa mga anghel at nagasabi: “Magbalita kayo sa Akin ng mga pangalan ng mga ito kung kayo ay mga tapat.”",""
39,2,32,"Nagsabi Sila: “Kaluwalhatian sa Iyo [O Allāh]! Walang kaalaman sa amin maliban sa itinuro Mo sa amin. Tunay na Ikaw ay ang Maalam, ang Marunong.”",""
40,2,33,"Nagsabi Siya: “O Adan, magbalita ka sa kanila ng mga pangalan ng mga ito.” Kaya noong nagbalita ito sa kanila ng mga pangalan ng mga ito ay nagsabi Siya: “Hindi ba nagsabi Ako sa inyo tunay na Ako ay nakaaalam sa nakalingid sa mga langit at lupa at nakaaalam sa anumang inilalantad ninyo at anumang dati ninyong ikinukubli?”",""
41,2,34,"[Banggitin] noong nagsabi Kami sa mga anghel: “Magpatirapa kayo kay Adan [bilang pagpipitagan];” kaya nagpatirapa sila maliban si Satanas.[10] Tumanggi siya, nagmalaki siya, at siya ay naging kabilang sa mga tagatangging sumampalataya.","[10] Si Satanas o Iblīs sa wikang Arabe ay isang jinn at hindi kabilang sa mga anghel."
42,2,35,"Nagsabi Kami: “O Adan, manahan ka at ang asawa mo sa Paraiso at kumain kayong dalawa mula rito nang masagana saanman ninyong dalawa loobin ngunit huwag kayong dalawa lumapit sa punong-kahoy na ito dahil kayong dalawa ay maging kabilang sa mga tagalabag sa katarungan.”",""
43,2,36,"Ngunit nagpatisod sa kanilang dalawa ang demonyo palayo roon at nagpalabas siya sa kanilang dalawa mula sa dating kinaroroonan nilang dalawa. Nagsabi Kami: “Lumapag kayo; ang iba sa inyo para sa iba ay kaaway. Ukol sa inyo sa lupa ay isang pinagtitigilan at isang natatamasa hanggang sa isang panahon.”",""
44,2,37,"Saka nakatanggap si Adan mula sa Panginoon nito ng mga salita [ng paghingi ng kapatawaran] saka tumanggap Siya sa pagbabalik-loob nito.[11] Tunay na Siya ay ang Palatanggap ng pagbabalik-loob, ang Maawain.","[11] Pinatawad ni Allāh si Adan sa unang kasalan nito ng pagsuway at pagkain ng bawal na bunga."
45,2,38,"Nagsabi Kami: “Bumaba kayo mula rito nang lahatan. Kung may darating nga naman sa inyo mula sa Akin na isang patnubay, ang mga sumunod sa patnubay Ko ay walang pangamba sa kanila ni sila ay malulungkot.”",""
46,2,39,"Ang mga tumangging sumampalataya at nagpasinungaling sa mga tanda Namin, ang mga iyon ay ang mga maninirahan sa Apoy; sila ay doon mga mananatili.",""
47,2,40,"O mga anak ni Israel, alalahanin ninyo ang biyaya Ko na ibiniyaya Ko sa inyo at magpatupad kayo sa kasunduan sa Akin, magpapatupad Ako sa kasunduan sa inyo. Sa Akin ay mangilabot kayo.",""
48,2,41,"Sumampalataya kayo sa pinababa Ko bilang tagapagpatotoo para sa taglay ninyo. Huwag kayong maging una na tagatangging sumampalataya rito. Huwag kayong bumili kapalit ng mga talata Ko [mula sa Qur’ān] ng isang kaunting panumbas. Sa Akin ay mangilag kayong magkasala.",""
49,2,42,"Huwag kayong maghalo sa katotohanan ng kasinungalingan ni magtago kayo ng katotohanan [tungkol sa pagdating ni Propeta Muḥammad] samantalang kayo ay nakaaalam [nito].",""
50,2,43,"Magpanatili kayo ng pagdarasal, magbigay kayo ng zakāh, at yumukod kayo kasama sa mga yumuyukod.",""
51,2,44,"Nag-uutos ba kayo sa mga tao ng pagsasamabuting-loob samantalang nakalilimot kayo sa mga sarili ninyo habang kayo ay bumibigkas ng Kasulatan? Saka hindi ba kayo nakapag-uunawa?",""
52,2,45,"Magpatulong kayo sa pamamagitan ng pagtitiis at pagdarasal. Tunay na ito ay talagang mabigat maliban sa mga nagtataimtim [kay Allāh],",""
53,2,46,"na tumitiyak na sila ay mga makikipagkita sa Panginoon nila, at na sila tungo sa Kanya ay mga babalik [para gantihan].",""
54,2,47,"O mga anak ni Israel, alalahanin ninyo ang biyaya Ko na ibiniyaya Ko sa inyo, at na Ako ay nagtangi sa inyo higit sa mga nilalang [para sa pagkapropeta].",""
55,2,48,"Mangilag kayo sa isang Araw na hindi makasasapat ang isang kaluluwa para sa isang kaluluwa sa anuman, ni tatanggap mula sa kanya ng isang pamamagitan, ni kukuha mula sa kanya ng isang panumbas, ni sila ay iaadya.",""
56,2,49,"[Banggitin] noong nagligtas Kami sa inyo mula sa angkan ni Paraon. Nagpapataw sila sa inyo ng kasagwaan ng pagdurusa: pinagkakatay nila ang mga lalaking anak ninyo at pinamumuhay nila ang mga babae ninyo. Sa gayon ay may isang pagsubok, mula sa Panginoon ninyo, na sukdulan.",""
57,2,50,"[Banggitin] noong naghati Kami para sa inyo ng dagat kaya pinaligtas Namin kayo at nilunod Namin ang angkan ni Paraon habang kayo ay nakatingin.",""
58,2,51,"[Banggitin] noong nakipagtipan Kami kay Moises nang apatnapung gabi. Pagkatapos gumawa kayo sa guya [bilang diyus-diyusan] matapos na [ng pag-alis] niya habang kayo ay mga tagalabag sa katarungan.",""
59,2,52,"Pagkatapos nagpaumanhin Kami sa inyo matapos na niyon, nang sa gayon kayo ay magpapasalamat.",""
60,2,53,"[Banggitin] noong nagbigay Kami kay Moises ng Kasulatan at Pamantayan [ng tama at mali], nang sa gayon kayo ay mapapatnubayan.",""
61,2,54,"[Banggitin] noong nagsabi si Moises sa mga kalipi niya: “O mga kalipi ko, tunay na kayo ay lumabag sa katarungan sa mga sarili ninyo sa paggawa ninyo sa guya [bilang diyus-diyusan] kaya magbalik-loob kayo sa Tagapaglalang ninyo at patayin ninyo ang mga [may-salang] kapwa ninyo. Iyon ay higit na mabuti para sa inyo sa ganang Tagapaglalang ninyo;” saka tumanggap Siya ng pagbabalik-loob ninyo. Tunay na Siya ay ang Palatanggap ng pagbabalik-loob, ang Maawain.",""
62,2,55,"[Banggitin] noong magsabi kayo: “O Moises, hindi kami sasamplataya sa iyo hanggang sa makakita kami kay Allāh nang hayagan.” Kaya dumaklot sa inyo ang lintik habang kayo ay nakatingin.",""
63,2,56,"Pagkatapos bumuhay Kami sa inyo matapos na ng kamatayan ninyo, nang sa gayon kayo ay magpapasalamat.",""
64,2,57,"Naglilim Kami sa inyo ng mga ulap at nagpababa Kami sa inyo ng manna at mga pugo, [na nagsasabi]: “Kumain kayo mula sa mga kaaya-ayang itinustos Namin sa inyo.” Hindi sila lumabag sa katarungan sa Amin, subalit sila noon sa mga sarili nila ay lumalalabag sa katarungan.",""
65,2,58,"[Banggitin] noong nagsabi Kami: “Magsipasok kayo sa pamayanang ito at kumain kayo mula rito saanman ninyo loobin nang masagana. Magsipasok kayo sa pinto na mga nakayukod. Magsabi kayo: “Pag-aalis-sala,” magpapatawad Kami sa inyo sa mga kasalanan ninyo at magdaragdag Kami sa mga tagapagpaganda ng gawa.",""
66,2,59,"Ngunit nagpalit ang mga lumabag sa katarungan ng isang sabing iba sa sinabi sa kanila, kaya nagpababa Kami sa mga lumabag sa katarungan ng isang pasakit mula sa langit dahil sila noon ay nagpapakasuwail.",""
67,2,60,"[Banggitin] noong humiling ng tubig si Moises para sa mga kalipi niya kaya nagsabi Kami: “Humampas ka ng tungkod mo sa bato.” Kaya bumulwak mula roon ang labindalawang bukal. Nakaalam nga ang bawat [pangkat ng] mga tao sa inuman nila. Kumain kayo at uminom kayo mula sa panustos ni Allāh at huwag kayong manampalasan sa lupa bilang mga tagagulo.",""
68,2,61,"[Banggitin] noong nagsabi kayo: “O Moises, hindi kami makatitiis sa nag-iisang [pares ng] pagkain; kaya manalangin ka para sa amin sa Panginoon mo, magpapalabas Siya para sa amin ng pinatutubo ng lupa gaya ng mga halaman nito, mga pipino nito, mga bawang nito, mga lentiha nito, at mga sibuyas nito.” Nagsabi [si Moises]: “Magpapalit ba kayo ng higit na hamak sa higit na mabuti? Bumaba kayo sa isang kabayanan sapagkat tunay na ukol sa inyo ang hiningi ninyo.” Itinatak sa kanila ang kaabahan at ang karukhaan at bumalik sila kalakip ng isang galit mula kay Allāh. Iyon ay dahil sila noon ay tumatangging sumampalataya sa mga tanda ni Allāh at pumapatay sa mga propeta nang walang karapatan. Iyon ay dahil sumuway sila, at sila noon ay lumalabag.",""
69,2,62,"Tunay na ang mga sumampalataya [bago ni Propeta Muḥammad], ang mga nagpaka-Hudyo, ang mga Kristiyano, at ang mga Sabeano – ang sinumang sumampalataya kay Allāh at sa Huling Araw at gumawa ng maayos – ay ukol sa kanila ang pabuya nila sa ganang Panginoon nila, at walang pangamba sa kanila ni sila ay malulungkot.",""
70,2,63,"[Banggitin] noong tumanggap Kami ng kasunduan sa inyo [O mga anak ni Israel] at nag-angat Kami sa ibabaw ninyo ng bundok, [na nag-uutos]: “Tanggapin ninyo ang [Torah na] ibinigay Namin sa inyo nang may lakas at alalahanin ninyo ang anumang narito, nang sa gayon kayo ay mangingilag magkasala.”",""
71,2,64,"Pagkatapos tumalikod kayo matapos na niyon, ngunit kung hindi dahil sa kabutihang-loob ni Allāh sa inyo at awa Niya ay talaga sanang kayo ay naging kabilang sa mga lugi.",""
72,2,65,"Talaga ngang nakaalam kayo sa lumabag kabilang sa inyo sa Sabath, at nagsabi Kami sa kanila: “Maging mga unggoy kayo na itinataboy!”",""
73,2,66,"Kaya gumawa Kami rito bilang parusang panghalimbawa para sa kapiling nito at kasunod nito at bilang pangaral para sa mga tagapangilag magkasala.",""
74,2,67,"[Banggitin] noong nagsabi si Moises sa mga kalipi niya: “Tunay na si Allāh ay nag-utos sa inyo na magkatay kayo ng isang baka.” Nagsabi sila: “Gumagawa ka ba sa amin ng isang pagkutya?” Nagsabi siya: “Nagpapakupkop ako kay Allāh na ako ay maging kabilang sa mga mangmang.”",""
75,2,68,"Nagsabi sila: “Dumalangin ka para amin sa Panginoon mo, magpapalinaw Siya para sa amin kung ano ito.” Nagsabi siya: “Tunay na Siya ay nagsasabi na tunay na ito ay isang baka na hindi matanda at hindi dumalaga, katamtaman sa pagitan niyon; kaya gawin ninyo ang ipinag-uutos sa inyo.”",""
76,2,69,"Nagsabi sila: “Dumalangin ka para sa amin sa Panginoon mo, magpapalinaw Siya para sa amin kung ano ang kulay nito.” Nagsabi siya: “Tunay na Siya ay nagsasabi na tunay na ito ay isang baka na dilaw na matingkad ang kulay nito, na nakagagalak sa mga tumitingin.”",""
77,2,70,"Nagsabi sila: “Dumalangin ka para amin sa Panginoon mo, magpapalinaw Siya para sa amin kung ano ito; tunay na ang mga baka ay nagkahawigan sa amin. Tunay na kami, kung niloob ni Allāh, ay talagang mga mapapatnubayan [tungo sa bakang kakatayin].”",""
78,2,71,"Nagsabi siya: “Tunay na Siya ay nagsasabing tunay na ito ay isang baka, na hindi maamo na nagbubungkal ng lupa at hindi nagpapatubig ng taniman, na binusilak na walang batik dito.” Nagsabi sila: “Ngayon ay naghatid ka ng katotohanan.” Kaya kinatay nila ito at hindi nila halos nagawa.",""
79,2,72,"[Banggitin] noong pumatay kayo ng isang tao at nagtalu-talo kayo hinggil sa kanya. Si Allāh ay tagapagpalabas ng dati ninyong itinatago.",""
80,2,73,"Kaya nagsabi Kami: “Humampas kayo sa kanya [na namatay] ng bahagi ng [kinatay na bakang] iyon.” Gayon nagbibigay-buhay si Allāh sa mga patay. Nagpapakita Siya sa inyo ng mga tanda Niya, nang sa gayon kayo makapag-uunawa.",""
81,2,74,"Pagkatapos tumigas ang mga puso ninyo matapos na niyon, kaya ang mga ito ay gaya ng mga bato o higit na matindi sa katigasan. Tunay na mayroon sa mga bato na talagang ang bumubulwak mula sa mga ito ay ang mga ilog, tunay na mayroon sa mga ito na talagang ang nagkakabiyak-biyak kaya lumalabas mula sa mga ito ang tubig, at tunay na mayroon sa mga ito na talagang ang lumalagpak dahil sa takot kay Allāh. Si Allāh ay hindi nalilingat sa anumang ginagawa ninyo.",""
82,2,75,"Kaya naghahangad ba kayo [O mga mananampalataya] na maniwala sila sa inyo samantalang nangyari ngang may isang pangkat [ng mga Hudyong paham] mula sa kanila na nakaririnig sa salita ni Allāh? Pagkatapos pumipilipit sila nito matapos na nakapag-unawa sila rito samantalang sila ay nakaaalam.",""
83,2,76,"Kapag nakipagkita sila sa mga sumampalataya ay nagsasabi sila: “Sumampalataya kami,” at kapag nagsarilinan ang iba sa kanila sa iba pa ay nagsasabi sila: “Kumakausap ba kayo sa kanila ng hinggil sa inihayag ni Allāh sa inyo [hinggil sa pagdating ng Propeta] upang mangatwiran sila sa inyo hinggil dito sa piling ng Panginoon ninyo? Kaya hindi ba kayo nakapag-uunawa?”",""
84,2,77,"Hindi ba sila nakaaalam na si Allāh ay nakaaalam sa anumang inililihim nila at anumang inihahayag nila?",""
85,2,78,"Kabilang sa kanila [na mga Hudyo] ay mga iliterato na walang nalalaman sa Kasulatan kundi mga mithiin [na walang pagkaunawa], at walang iba sila kundi nagpapalagay [na ito ay Torah].",""
86,2,79,"Kaya kapighatian ay ukol sa mga sumusulat ng kasulatan sa pamamagitan ng mga kamay nila, pagkatapos nagsasabi silang ito ay mula sa ganang kay Allāh upang bumili sila kapalit nito ng isang kaunting panumbas. Kaya kapighatian ay ukol sa kanila mula sa sinulat ng mga kamay nila at kapighatian ay ukol sa kanila mula sa nakakamit nila.",""
87,2,80,"Nagsasabi sila: “Hindi sasaling sa amin ang Apoy maliban sa mga araw na mabibilang.” Sabihin mo: “Gumawa ba kayo sa ganang kay Allāh ng isang kasunduan sapagkat hindi sisira si Allāh sa kasunduan sa Kanya, o nagsasabi kayo hinggil kay Allāh ng hindi ninyo nalalaman?”",""
88,2,81,"Bagkus, ang mga nagkamit ng isang masagwang gawa [ng kawalang-pananampalataya] at pumaligid sa kanila ang kamalian nila, ang mga iyon ay ang mga maninirahan sa Apoy; sila ay doon mga mananatili.",""
89,2,82,"Ang mga sumampalataya at gumawa ng mga maayos, ang mga iyon ay ang mga maninirahan sa Hardin; sila ay doon mga mananatili.",""
90,2,83,"[Banggitin] noong tumanggap Kami ng kasunduan sa mga anak ni Israel, [na nag-uutos]: “Hindi kayo sasamba maliban kay Allāh; sa mga magulang ay gumawa ng maganda, at sa may pagkakamag-anak, mga ulila, at mga dukha; magsabi kayo sa mga tao ng maganda; magpapanatili kayo ng pagdarasal; at magbigay kayo ng zakāh.” Pagkatapos tumalikod kayo maliban sa kaunti kabilang sa inyo habang kayo ay mga umaayaw.",""
91,2,84,"[Banggitin] noong tumanggap Kami ng kasunduan sa inyo, [na nag-uutos]: “Hindi kayo magpapadanak ng mga dugo ninyo at hindi kayo magpapalisan ng mga kapwa ninyo mula sa mga tahanan ninyo.” Pagkatapos kumilala kayo [sa kasunduan] habang kayo ay sumasaksi.",""
92,2,85,"Pagkatapos kayo itong pumapatay sa mga kapwa ninyo at nagpapalisan sa isang pangkat kabilang sa inyo mula sa mga tahanan nila, habang nagtataguyudan kayo laban sa kanila sa kasalanan at pangangaway. Kung pumupunta sila sa inyo bilang mga bihag ay tumutubos kaya sa kanila samantalang ipinagbabawal sa inyo ang pagpapalisan sa kanila [mula sa mga tahanan nila]. Kaya sumasampalataya ba kayo sa isang bahagi ng Aklat at tumatanggi kayong sumampalataya sa isang bahagi? Kaya walang ganti sa sinumang gumagawa niyon kabilang sa inyo kundi isang kahihiyan sa buhay na pangmundo. Sa Araw ng Pagbangon ay ipagtutulakan sila sa pinakamatindi sa pagdurusa. Si Allāh ay hindi nalilingat sa anumang ginagawa ninyo.",""
93,2,86,"Ang mga iyon ay ang mga bumili ng buhay na pangmundo kapalit ng Kabilang-buhay[12] kaya hindi pagagaanin sa kanila ang pagdurusa ni sila ay iaadya.","[12] Dahil sa pagtatangi sa naglalahong buhay kaysa sa namamalaging buhay."
94,2,87,"Talaga ngang nagbigay Kami kay Moises ng Kasulatan at nagpasunod Kami matapos na Niya ng mga sugo. Nagbigay Kami kay Jesus na anak ni Maria ng mga malinaw na patunay at nag-alalay Kami sa kanya sa pamamagitan ng Espiritu ng Kabanalan.[13] Kaya ba sa tuwing may naghatid sa inyo na isang sugo ng hindi pinipithaya ng mga sarili ninyo ay nagmamalaki kayo sapagkat sa isang pangkat ay nagpapabula kayo at sa isang pangkat ay pumapatay kayo?","[13] Ang Espiritu ng Kabanalan o ang Banal na Esipiritu ay si Anghel Gabriel."
95,2,88,"Nagsabi sila: “Ang mga puso namin ay mga nakabalot.[14]” Bagkus isinumpa sila ni Allāh dahil sa kawalang- pananampalataya nila kaya kakaunti ang sinasampalatayanan nila.","[14] kaya hindi napapasukan ng salita ni Allāh."
96,2,89,"Noong may dumating sa kanila na isang Aklat mula sa ganang kay Allāh, na tagapagpatotoo para sa taglay nila [na mga kasulatan] – samantalang sila dati bago pa niyan ay humihiling ng pagwawagi laban sa mga tumangging sumampalataya – at noong dumating sa kanila ang nakilala nila ay tumanggi silang sumampalataya rito. Kaya ang sumpa ni Allāh ay sa mga tagatangging sumampalataya.",""
97,2,90,"Kay saklap ng pinagbilihan nila ng mga sarili nila, na tumanggi silang sumampalataya sa pinababa ni Allāh dala ng paglabag dahil nagbaba si Allāh ng kabutihang-loob Niya sa sinumang niloloob Niya kabilang sa mga lingkod[15] Niya. Kaya bumalik sila kalakip ng isang galit [dahil sa kawalang-pananampalataya nila kay Muḥammad] sa ibabaw ng isang galit [dahil sa pagpilipit nila sa Torah]. Ukol sa mga tagatangging sumampalataya ay isang pagdurusang manghahamak.","[15] Ang “mga lingkod” ni Allāh ay ang mga tao at ang mga jinn."
98,2,91,"Kapag sinabi sa kanila: “Sumampalataya kayo sa pinababa ni Allāh [na Qur’ān],” ay nagsasabi sila: “Sumasampalataya kami sa pinababa sa amin [na mga kasulatan].” Tumatanggi silang sumampalataya sa iba pa roon samantalang ito ay ang katotohanan bilang tagapagpatotoo para sa taglay nila. Sabihin mo: “Kaya bakit pumapatay kayo ng mga propeta ni Allāh bago pa niyan kung kayo ay mga mananampalataya?”",""
99,2,92,"Talaga ngang naghatid sa inyo si Moises ng mga malinaw na patunay. Pagkatapos gumawa kayo sa guya [bilang diyus-diyusan] matapos na [ng pag-alis] niya habang kayo ay mga tagalabag sa katarungan.",""
