"Translation Info:
#---------------------------
13,2,6,"6. (መልዕክተኛችን ሙሐመድ ሆይ!) እነዚያ (በአላህ ፤ በአንተ መልዕክተኛነትና በአላህ አናቅጽ) የካዱት ሰዎች ብታስጠነቅቃቸዉም ባታስጠነቅቃቸዉም ለእነርሱ ሁሉም እኩል ነው:: (ምንም ለውጥ አያመጣም) አያምኑምና፡፡",""
14,2,7,"7. አላህ እነዚያ እውነትን እያወቁ የካዱ ሰዎችን በልቦቻቸው እና በመስሚያቸው ላይ አትሞባቸዋል:: በዓይኖቻቸው ላይም መሸፈኛ አለ:: ለእነርሱም በጀሀነም ውስጥ ከባድ ቅጣት አለባቸው፡፡",""
15,2,8,"8. ከሰዎች መካከል ለይስሙላ «በአላህና በመጨረሻው ቀን አምነናል» የሚሉ ክፍሎች አሉ:: እነርሱ ግን (የሚዋሹ እንጂ) ትክክለኛ አማኞች አይደሉም።",""
16,2,9,"9. አላህንና እነዚያን በትክክል በአላህ ያመኑትን ሰዎች ያታልላሉ:: ነገር ግን በዚህ ተግባራቸው ነፍሶቻቸውን እንጂ ሌላን ማንንም አያታልሉም:: እነርሱ ግን ይህ መሆኑን በትክክል አያውቁም፡፡",""
17,2,10,"10. በልቦቻቸው ውስጥ (የንፍቅና) በሽታ ሰርጿል:: አላህም ሌላን በሽታ ጨመረባቸው:: ለእነርሱም ይዋሹ በነበሩበት ምክንያት አሳማሚ ቅጣት አለባቸው፡፡",""
18,2,11,"11. በምድር ላይ ሁከትን አትፍጠሩ በተባሉ ጊዜ እኛ እኮ አስተካካዮች ነን ይላሉ፡፡",""
19,2,12,"12. (ሙስሊሞች ሆይ!) አስተውሉ:: አጥፊዎች እነርሱ ብቻ ናቸው:: ግን እነርሱ ይህንን አይገነዘቡም፡፡",""
20,2,13,"13, «ሰዎቹ እንዳመኑት ሁሉ እናንተም እመኑ» በተባሉ ጊዜ «ቂሎቹ እንዳመኑት እናምናለንን?» ይላሉ። (ሙስሊሞች ሆይ!) አስተዉሉ። ቂሎቹ እነርሱ ብቻ ናቸው:: እነርሱ ግን ይህንን አያውቁም።",""
21,2,14,"14. ከእነዚያ በአላህ በትክክል ካመኑት ሰዎች ጋር በተገናኙ ጊዜ «እኛም (ልክ እንደ እናንተው) አምነናል» ይላሉ። ወደ ሰይጣኖቻቸው ባገለሉ ጊዜ ደግሞ «እኛ እኮ ከእናንተ ጋር ነን፤ እኛ በእነርሱ ተሳላቂዎች ብቻ ነን» ይላሉ።",""
22,2,15,"15. አላህ በእነርሱ ይሳለቅባቸዋል:: በአመጻቸዉም ውስጥ የሚዋልሉ ሲሆኑ ያቆያቸዋል፡፡",""
23,2,16,"16. እነዚህ እነዚያ ስህተትን በቅንነት የገዙ (የለወጡ) ሰዎች ናቸው:: እናም ንግዳቸው ትርፋማ አይደለም:: ቅኑን መንገድም አልተከተሉም፡፡",""
24,2,17,"17. የእነርሱ ንፍቅና ምሳሌ ልክ እንደዚያ እሳትን እንዳነደደና ከዚያ በዙሪያው ያለውን ሁሉ ባበራችለት ጊዜ አላህ ብርሃናቸውን እንደወሰደባቸው እና በጨለማዎች ውስጥ የማያዩ ሆነው እንደተዋቸው ብጤ ነው፡፡",""
25,2,18,"18. እነርሱ (ሓቅን የማይሰሙ) ደንቆሮዎች፤ (ሓቅን የማይናገሩ) ዲዳዎች፤ (ሓቅን የማያዩ) እውሮች ናቸው:: ስለዚህ እነርሱ (ከስህተት) አይመለሱም።",""
26,2,19,"19. ወይም (ምሳሌያቸው) ከሰማይ እንደወረደ ዝናብ (ባለቤቶች) ነው:: በእርሱ (በደመናው) ውስጥ ጨለማዎች፤ ነጎድጓድና ብልጭታ ያሉበት ሲሆን ከመብረቆቹ ሊመጣ ከሚችል ጥቃት ሞትን በመፍራት ጣቶቻቸውን በጆሮዎቻቸው ውስጥ እንደሚያደርጉ ሰዎች ቢጤ ነው:: አላህ ከሓዲያንን (በእውቀቱ) ከባቢ ነው፡፡",""
27,2,20,"20 ብልጭታው ዓይኖቻቸውን ሊነጥቅ ይቀርባል:: ለእነርሱ ባበራላቸው ቁጥር በውስጡ ይሄዳሉ:: በእነርሱም ላይ ባጨለመባቸው ጊዜ ደግሞ ይቆማሉ:: አላህ በፈለገ ኖሮ መስሚያዎቻቸውንና ማያዎቻቸውን ይወስድባቸው ነበር:: አላህ በነገሮች ሁሉ ላይ ቻይ ነውና::",""
28,2,21,"21. እናንተ ሰዎች ሆይ! ያን እናንተንና እነዚያን ከናንተ በፊት የነበሩትን የፈጠረውን ጌታችሁን (አላህን) በብቸኝነት ተገዙት:: ቅጣትን ልትጠነቀቁ ዘንድ፡፡",""
29,2,22,"22. እርሱ (አላህ) ያ ለእናንተ ምድርን ምንጣፍ፤ ሰማይን ጣራ ያደረገ ጌታ ነው::ከሰማይ ዳመና ውሃን ያወረደና ከዚያ በውሃው ከፍሬዎች ሁሉ ለእናንተ ሲሳይን ያወጣላችሁ ነው:: እናም (ብቸኛ ፈጣሪነቱን) የምታውቁ ስትሆኑ ለአላህ (በአምልኮ) አጋሮችን አታድርጉ፡፡",""
30,2,23,"23. (እናንተ ሰዎች ሆይ!) በአገልጋያችን (በሙሐመድ) ላይ ባወረድነው (ቁርኣን) በመጠራጠር ላይ ከሆናችሁም ከእርሱ ጋር ሊወዳደር የሚችል አንድ ምዕራፍ እንኳን እስቲ አምጡ:: እውነተኞች እንደሆናችሁ ከአላህ ሌላ ረዳቶቻችሁንም ሁሉ ጥሩ፡፡",""
31,2,24,"24. (ይህንን) ባትሰሩ ግን በርግጥም አትሰሩትምና (አትፈጽሙትምና) ከዚያች መቀጣጠያዋ ሰዎችና ድንጋዮች ከሆነው ከገሀነም እሳት ራሳችሁን ጠብቁ:: ለከሓዲያን ሁሉ ተደግሳለችና፡፡",""
32,2,25,"25. (መልዕክተኛችን ሙሐመድ ሆይ!) እነዚያ በትክክል በአላህ ያመኑትንና መልካም ተግባራትን የሰሩትን ሰዎች ከስሮቻቸው ወንዞች የሚፈሱባቸው ገነቶች ያሏቸው መሆኑን አብስራቸው:: በእርሷም ፍራፍሬ በተለገሱ ቁጥር (ፍሬዎቿ ስለሚመሳሰሉ) «ይህማ ያ ከአሁን በፊት የተመገብነው ነው።» ይላሉ:: (እርሱ ተመሳሳይ ሆኖ ይሰጣቸዋል) ለእነርሱም በውስጧ ንጹህ ሚስቶች አሏቸው:: እነርሱም በውስጧ ዘውታሪዎች ናቸው::",""
33,2,26,"26. አላህ ማንኛውንም ነገር ትንኝም ትሁን ከሷም በላይ የሆነን ነገር ምሳሌ ከማድረግ አያፍርም። እነዚያማ ያመኑት ምሳሌው ከጌታቸው የተነገረ እውነት መሆኑን ያውቃሉ:: እነዚያ የካዱ ግን «አላህ በዚህ አባባል ምንን ምሳሌ ፈልጎበት ነው?» ይላሉ:: አላህ በምሳሌው ብዙዎችን ያሳስታል:: በእርሱም ብዙዎችን ያቀናል:: በእርሱም አመጸኞችን እንጂ ሌላን አያሳስትም::",""
34,2,27,"27. እነዚያ የአላህን ቃል ኪዳን ከጠበቀ በኃላ የሚያፈርሱ፤ እንዲቀጠልም አላህ ያዘዘውን ነገር የሚቆርጡ፤ በምድር ላይ ሁከት የሚፈጥሩ ከሳሪዎች እነርሱ ብቻ ናቸው::",""
35,2,28,"28. (እናንተ ከሓዲያን ሆይ!) ሙታን የነበራችሁትን ሕያው ያደረጋችሁ፤ ከዚያም የሚገድላችሁ፤ ከዚያም ሕያው የሚያደርጋችሁና ከዚያም ወደ እርሱ የምትመለሱ ስትሆኑ እንዴት በአላህ ትክዳላችሁ!",""
36,2,29,"29. አላህ ያ በምድር ውስጥ ያለውን ሁሉ ለእናንተ ጥቅም ሲል የፈጠረ ጌታ ነው:: ከዚያም ወደ ሰማይ አሰበና ሰባት ሰማያት አደረጋቸው:: እርሱ ሁሉን ነገር አዋቂ ነውና፡፡",""
37,2,30,"30. (መልዕክተኛችን ሙሐመድ ሆይ!) ጌታህ ለመላዕክት «እኔ በምድር ላይ (ምትክ) ወኪል ላደርግ ነው።» ባለ ጊዜ (የሆነውን ለህዝቦችህ አስታውስ)። «እኛ ከማመስገን ጋር የምናጠራህ፤ የምናሞግስህ ስንሆን በምድር ውስጥ የሚያጠፉትንና ደሞችንም የሚያፈሱትን ታደርጋለህን?» አሉ:: አላህም «እኔ እናንተ የማታውቁትን ነገር ሁሉ አውቃለሁ» አላቸው።",""
38,2,31,"31. ለአደምም ስሞችን ሁሉ አስተማረው:: ከዚያም በመላዕክት ላይ (ተሰያሚዎቹን) አቀረባቸው። «እውነተኞች ከሆናችሁ የእነዚህን ተሰያሚዎች መጠሪያ ንገሩኝ?» አላቸው።",""
39,2,32,"32. እነርሱም «ጥራት ይገባህ አንተ ካስተማርከን ነገር በስተቀር እኛ ምንም እውቀት የለንም:: አንተ ብቸኛው ጥበበኛና አዋቂው ነህና›› አሉ፡፡",""
40,2,33,"33. አላህም «አደም ሆይ! ስሞቻቸውን ንገራቸው።» አለው። ከዚያም ስሞቻቸውን በነገራቸው ጊዜ «እኔ የሰማያትንና የምድርን ሩቅ ምስጢር አውቃለሁ። የምትገልጹትንና ያንንም ትደብቁት የነበራችሁትን ሁሉ አውቃለሁ አላልኳችሁምን?» አላቸው።",""
41,2,34,"34. (መልዕክተኛችን ሙሐመድ ሆይ!) መላዕክትን «ለአደም ስገዱ» ባልን ጊዜ የሆነውን አስታውስ። ከዲያብሎስ በቀር መላዕክት ሁሉም ወዲያውኑ ሰገዱ። እርሱማ እምቢ አለ። ኮራም። ከከሓዲያንም ሆነ።",""
42,2,35,"35. «አደም ሆይ! አንተና ሚስትህ በገነት ውስጥ ተቀመጡ:: በእርሷም ዉስጥ በፈለጋችሁት ስፍራ በሰፊው ተመገቡ:: ግን ከበደለኞች ትሆናላችሁና ይህችን ዛፍ አትቅረቡ።» አልናቸው።",""
43,2,36,"36. ሰይጣንም ከእርሷ አሳሳታቸው። ከነበሩበትም ገነት አወጣቸው። «ከፊላችሁ ለከፊሉ ጠላት ሲሆን ሁላችሁም (ወደ ምድር) ውረዱ። ለእናንተም በምድር ላይ እስከተወሰነ ጊዜ ድረስ መርጊያና መጠቀሚያ አላችሁ።» አልናቸው።",""
44,2,37,"37. ከዚያም አደም ከጌታው የመታረቂያ ቃል ተማረ:: ጌታዉም ተማጽኖውን ተቀበለው:: አላህ ጸጸትን ተቀባይና አዛኝ ነውና፡፡",""
45,2,38,"38. «ሁላችሁም (አደም፣ ሐዋና ሰይጣን) በአንድ ሆናችሁ ከገነት ወደ (ምድር) ውረዱ አልናቸውም። ከዚያም ከእኔ የሆነ መመሪያ ቢመጣላችሁ መመሪያዬን የተከተሉ በእነርሱ ላይ ስጋትም ትካዜም የለባቸውም።",""
46,2,39,"39. «እነዚያም በመልዕክተኞቻችን የካዱና በራዕያችን ያስተባበሉ ሁሉ ግን እነርሱ በውስጧ ዘውታሪዎች ሲሆኑ የእሳት (ገሀነም) ጓዶች ናቸው።» (አልናቸው።)",""
47,2,40,"40. እናንተ የኢስራኢል ልጆች ሆይ! ያችን በእናንተ ላይ የለገስኳትን ጸጋዬን አስታውሱ:: ቃል ኪዳኔንም ሙሉ:: እኔም ቃልኪዳናችሁን እሞላላችኋለሁና። እኔንም ብቻ ፍሩኝ።",""
48,2,41,"41. (እናንተ የኢስራኢል ልጆች ሆይ!) ከናንተ ጋር ያለውን መጽሐፍ እውቅና የሚሰጥ ሆኖ ባወረድኩት (ቁርኣን) እመኑ:: በእርሱም የመጀመሪያ ከሓዲያን አትሁኑ:: በአንቃጾቼ ጥቂት ገንዘብ አትለውጡ:: እኔንም ብቻ ፍሩኝ፡፡",""
49,2,42,"42. እውነቱን ከውሸት ጋር አትቀላቅሉ:: እናንተም የምታውቁ ስትሆኑ እውነትን አትደብቁ፡፡",""
50,2,43,"43. ሶላትን ደንቡን ጠብቃችሁ ስገዱ:: ዘካንም ለተገቢው አካል ስጡ:: ለጌታችሁም ከአጎንባሾች ጋር አጎንብሱ:: (ከሰጋጆች ጋር ስገዱ)።",""
51,2,44,"44. እናንተ መጽሐፍን የምታነቡ ሆናችሁና ሰዎችን በበጎ ስራ እያዘዛችሁ ራሳችሁን በመልካም ምግባር ከማነጽ ትዘነጋላችሁን? አታስተውሉምን?",""
52,2,45,"45.በመታገስና በሶላትም ተረዱ፡፡ እርሷ (ሶላት) በፈሪዎች ላይ እንጂ በሌላው ላይ በእርግጥ ከባድ ናት።",""
53,2,46,"46. እነዚያ ከጌታቸው ጋር እንደሚገናኙና ወደ እርሱ ተመላሾች መሆናቸውን የሚያረጋግጡ ናቸው።",""
54,2,47,"50. የእስራኤል ልጆች ሆይ! ያችን በናንተ ላይ የለገስኳትን ጸጋዬንና እኔም በዓለማት ላይ ያበለጥኳችሁ (አባቶቻችሁን በጊዜያቸው ከነበሩት ዓለማት ያበለጥኩዋቸው) መኾኔን አስታውሱ፡፡",""
55,2,48,"48. ማንኛዋም ነፍስ ከሌላዋ ነፍስ ምንንም የማትመነዳበትን፤ ከእርሷም ምልጃን የማይቀበሉባትን፤ ከእርሷም ቤዛ የማይያዝባትንና እነርሱም በየትኛዉም አካል የማይረዱበትን ቀን ቅጣት ፍሩ (ተጠንቀቁ)፡፡",""
56,2,49,"49. ከፈርዖን ቤተሰቦች (ከጎሳዎቹ) ብርቱን ቅጣት የሚያቀምሷችሁ፤ ወንዶች ልጆቻችሁን የሚያርዱና ሴቶቻችሁን የሚተዉ ሲሆኑ ከእነርሱ ባዳንናችሁ ጊዜ (የሆነውን ታሪክ አስታውሱ)። ያ ክስተት ከጌታችሁ ለእናንተ ታላቅ ፈተና ነበር።",""
57,2,50,"50. (እናንተ የኢስራኢል ልጆች ሆይ!) በእናንተ ምክንያት ባህሩን በከፈልን ጊዜ የሆነውን ታሪክም አስታውሱ:: ወዲያውኑም አዳንናችሁ:: የፈርዖንንም ቤተሰቦች ዓይናችሁ እያየ አሰመጥናቸው::",""
58,2,51,"51. (መልዕክተኛችን ሙሐመድ ሆይ!) ሙሳ የአርባ ሌሊትን ቀጠሮ ከእኛ በወሰደበት ጊዜ (የሆነውን ታሪክ ለህዝቦችህ አስታውስ):: ከዚያም ከእርሱ (መሄድ) በኋላ እናንተ ራሳችሁን በዳዩች ስትሆኑ ወይፈንን አምላክ አደረጋችሁ::",""
59,2,52,"52. (ቢሆንም) ከዚያ በኋላ ታመሰግኑ ዘንድ ለእናንተ ምህረትን አደርግን::",""
60,2,53,"53. (እናንተ የኢስራኢል ልጆች ሆይ! ወደ ትክክለኛው መንገድ) ትመሩ ዘንድ ለሙሳ እውነትንና ውሸትን የሚለይን መጽሐፍ በሰጠነው ጊዜ (የዋልንላችሁን ውለታ አስታውሱ)::",""
61,2,54,"54. (የኢስራኢል ልጆች ሆይ!) ሙሳ ለሕዝቦቹ (እንዲህ) ባለም ጊዜ የዋልነውን ውለታ አስታውሱ፡- «ሕዝቦቼ ሆይ! እናንተ ወይፈንን አምላክ በማድረጋችሁ ነፍሶቻችሁን በደላችሁ:: በመሆኑም ወደ ፈጣሪያችሁ ተመለሱ:: ከመካከላችሁ ወንጀለኛ ወገኖቻችሁን ግደሉ:: ይሃችሁ ድርጊት በፈጣሪያችሁ ዘንድ ለእንናተ በላጭ ነው። በእናንተም ላይ ምህረቱን አወረደ:: እነሆ እርሱ (አላህ) ጸጸትን ተቀባይ ምህረተኛ አዛኝ ነውና።",""
62,2,55,"55. (የኢስራኢል ልጆች ሆይ!) «ሙሳ ሆይ! አላህን በይፋ እስከምናይ ድረስ ለአንተ በፍጹም አናምንልህም።» ባላችሁ ጊዜ (የሆነውን ታሪክ አስታውሱ)። እናንተም በዓይናችሁ እየተመለከታችሁ መብረቅ መታችሁ።",""
63,2,56,"56. ከዚያም ታመሰግኑ ዘንድ ከሞታችሁ በኋላ አስነሳናችሁ፡፡",""
64,2,57,"57. (የኢስራኢል ልጆች ሆይ!) በናንተ ላይ ዳመናን አጠለልን:: እንደ ነጭ ማር ያለ «መንን» እና ድርጭትን ለምግብነት አወረድን:: «ከሰጠናችሁም ጣፋጮችን።» ብሉ አልን:: እኛን አልበደሉንም:: ነፍሶቻቸውን ግን ይበድሉ ነበር::",""
65,2,58,"58. (የኢስራኢል ልጆች ሆይ!) «ወደዚህች ከተማ ግቡ። ከእርሷም ከፈለጋችሁት ስፍራ የፈለጋችሁት መልኩ ተመገቡ:: በሩንም አጎንበሳችሁ ግቡ:: ‹ጥያቄያችንም የኃጢአቶቻችን መሰረዝ ነው።› በሉ:: ኃጢአቶቻችሁን እንምራለን ለበጎ ሰሪዎችም ምንዳ እንጨምርላቸዋለን።» ባልን ጊዜ የሆነውን አስታውሱ።",""
66,2,59,"59. እነዚያም እራሳቸውን የበደሉት እነርሱ ከተባሉት ሌላን ቃል ለወጡ። በነዚያም በበደሉት ላይ ያመጹ በመሆናቸው ምክንያት መቅሰፍትን ከሰማይ አወረድንባቸው።",""
67,2,60,"60. (የኢስራኢል ልጆች ሆይ!) ሙሳ ለሕዝቦቹ የመጠጥ ውሃን በፈለገ ጊዜ የሆነውን ታሪክ አስታውሱ:: «ድንጋዩን በዘንግህ ምታው።» አልነው:: መታዉም ከእርሱም አስራ ሁለት ምንጮች ፈለቁ (ፈነዱ)፤ ሰዎቹ ሁሉ በትክክል መጠጫቸውን አወቁ:: «ከአላህ ሲሳይ ብሉ፤ ጠጡም፤ አመጸኞችም ሆናችሁ በምድር ላይ አታበላሹ።» (አልናቸው)።",""
68,2,61,"61. (የኢስራኢል ልጆች ሆይ!) «ሙሳ ሆይ! በአንድ ዓይነት ምግብ ላይ በፍጹም አንታገስም:: ስለዚህ ጌታህ ከእነዚያ ምድር ከምታበቅላቸው ከቅጠላ ቅጠሏ፤ ከዱባዋ፤ ከስንዴዋ፤ ከምስሯና ከሽንኩርቷ ያወጣልን ዘንድ ለምንልን።» (ባላችሁም ጊዜ የሆነውን ታሪክ አስታውሱ):: ሙሳም «ያንን ዝቅተኛ የሆነውን በዚያ ከፍተኛና በላጭ በሆነው ነገር ልትተኩ ትፈልጋላችሁን? ወደ ከተማ ውረዱ:: የጠየቃችሁትን ነገር ታገኛላችሁና።» አላቸው። ውርደትና ድህነት ተጣለባቸው:: በአላህም ቁጣ ተመለሱ:: ይህ እነርሱ በአላህ ተዐምራት ይክዱና ነብያትንም ያለ አግባብ ይገድሉ ስለነበሩ፤ በኃጢአትም ላይ በመዘፈቃቸውና እንዲሁም ወሰንን የሚያልፉ በመሆናቸው ነው።",""
69,2,62,"62. እነዚያ በአላህ ያመኑ፣ እነዚያ አይሁዳውያን፣ ክርስቲያኖችና ሳቢያኖችም ሁሉ ከእነርሱ መካከል በአላህና በመጨረሻው ቀን ያመኑና መልካምን ስራ የሰሩ ሁሉ በእነርሱ ላይ (ምንም ይደርስብናል ብለው) ፍርሀት የለባቸዉም። (ምንም ነገር ያመልጠናል ብለው) አያዝኑምም።",""
70,2,63,"63. (የኢስራኢል ልጆች ሆይ!) ከበላያችሁ የጡርን ተራራ ያነሳን ሆነን « (ከእሳት ቅጣት) ትጠበቁ ዘንድ የሰጠናችሁን በርትታችሁ ያዙ:: በውስጡ ያለውን ነገር አስታውሱ።» ብለን የጠበቀ ቃል ኪዳናችሁን በያዝንበት ጊዜ የሆነውን ታሪክ (ልብ በሉ)።",""
71,2,64,"64. ከዚያም ከዚህ በኋላ ቃልኪዳኑን ተዋችሁ:: በእናንተም ላይ የአላህ ችሮታና እዝነቱ ባልነበረ ኖሮ በትክክል ከጠፊ ህዝቦች በሆናችሁ ነበር።",""
72,2,65,"65. እነዚያም ከናንተ መካከል በቅዳሜ ቀን አሳን በማጥመድ ወሰን ያለፉትንና ለእነርሱም «ወራዳዎች ዝንጆሮዎች ሁኑ።» ያልናቸውን ሕዝቦች ታሪክ በእርግጥ አወቃችሁ።",""
73,2,66,"66. የመንደሯን ሰዎች ቅጣትም ለእነዚያ በጊዜያቸው ለነበሩትና ለእነዚያም ከበኋላቸው ለሚመጡት ሕዝቦች መቀጣጫ ለፈራሂያንም (ትምህርት) አደረግናት።",""
74,2,67,"67. (የኢስራኢል ልጆች ሆይ!) ሙሳ ለህዝቦቹ «አላህ ላም እንድታርዱ ያዛችኋል» ባለም ጊዜ (የሆነውን ታሪክ አስታውሱ)። እነርሱም ለሙሳ «መሳለቂያ ታደርገናለህን?» አሉት። እሱም «ከተሳላቂዎች ከመሆን በአላህ እጠበቃለሁ» አላቸው።",""
75,2,68,"68. እነርሱም «እስቲ ጌታህን ጠይቅልን:: እርሷ ምን እንደሆነች (እድሜዋን) ያብራራልን ዘንድ» አሉ:: እርሱም «‹እርሷ በውልም ያላረጀች ጥጃም ያልሆነች በዚህ መካከል ልከኛ የሆነች ጊደር ናት።› ይላችኋል። የታዘዛችሁትንም ስሩ።» አላቸው።",""
76,2,69,"69. እነርሱም “እስቲ ጌታህን እንደገና ጠይቅልን:: መልኳ ምን እንደሚመስል ይገልጽልን ዘንድ” አሉ:: እርሱም “መልኳ ደማቅ ተመልካቾችን የምታስደስት ዳልቻ ላም ናት ይላችኋል” አላቸው፡፡",""
77,2,70,"70. ጌታህን ጠይቅልን :: እርሷ ምን እንደሆነች ይግለጽልን:: ምክንያቱም ላሞቹ በሙሉ በእኛ ላይ ተመሳሰሉብን:: እኛም አላህ የሻ እንደሆነ በእርግጥ (ትክክለኛውን አቅጣጫ የምንይዝ) ተመሪዎች ነን” አሉ፡፡",""
78,2,71,"71. እርሱም: «‹እርሷ ያልተገራች ምድርን በማረስ የማታስነሳ፤ እርሻንም የማታጠጣ፤ ከነውር ሁሉ ነፃ የሆነች፤ ጸያፍ ምልክት የሌለባት ናት።› ይላችኋል አላቸው።» እነርሱም «አሁን ገና በትክክል መጣህ።» አሉ:: ከዚያ ትዕዛዙን ላለመፈጸም የቀረቡ ሆነው ላሟን አረዷት።",""
79,2,72,"72. (የኢስራኢል ልጆች ሆይ!) ነፍስ በገደላችሁና በእርሷም ጉዳይ በተከራከራችሁ ጊዜ የሆነውን ታሪክ አስታውሱ:: አላህ ያን በውስጣችሁ ትደብቁት የነበራችሁትን ሚስጢር ሁሉ ገላጭ ነው፡፡",""
80,2,73,"73. (የሙቱን በድን) «በታረደችው ላም ከፊል አካል ምቱት አልን »:: (እናም መቱትና ተነሳ:: የገደለው ማን እንደሆነ ነገራቸውና እንደገና ሞተ::) ሰዎች ሆይ! ልክ እንደዚሁ ትገነዘቡና ታውቁ ዘንድ ሙታንን ህያው በማድረግ ተዓምራቶቹን ያሳያችኋል፡፡",""
81,2,74,"74. ከዚያም ልቦቻቸው ከዚህ (ትዕይንት) በኋላ ደረቁ:: እርሷም በድርቅና እንደ አለት ድንጋዩች ወይም ከእርሱ ይበልጥ የበረቱ ናቸው:: ምክንያቱም ከድንጋዩች መካከል ጅረቶች (ወንዞች) የሚፈሱበት፤ ከእነርሱም የሚሰነጥቅና ከእርሱ ውሃ ምንጭ የሚወጣው፤ ከእነርሱም አላህን ከመፍራቱ የተነሳ ወደ ታች የሚወርድ አለና:: አላህ ከምትሰሩት ነገር ሁሉ ከአንዱም ዘንጊ አይደለም፡፡",""
82,2,75,"75. ከ(አይሁድ) መካከል የአላህን ቃል የሚሰሙና ከዚያም እውነቱን ከተረዱ በኋላ ሆን ብለው እነርሱ እያወቁ የሚለውጡት ቡድኖች እያሉ ለእናንተ ማመናቸውን ትከጅላላችሁን?",""
83,2,76,"76. እነዚያም ያመኑትን ሙስሊሞችን ባገኙ ጊዜ “እኛም እንደናንተው አምነናል” ይላሉ:: እርስ በርሳቸው ብቻ በተገናኙ ጊዜ ግን “አላህ በእናንተ ላይ የገለጸላችሁን ነገር በጌታችሁ ዘንድ እርሱን መረጃ እንዲያቀርቡባችሁ ትነግሯቸዋላችሁን? አታስተውሉምን?” ይባባላሉ::",""
84,2,77,"77. አላህ የሚደብቁትንም ሆነ የሚገልጹትን ነገር ሁሉ የሚያውቅ ጌታ መሆኑን አያውቁምን?",""
85,2,78,"78. ከእነርሱም መካከል መጽሐፍን የማያውቁ መሃይማን አሉ:: ግን ከንቱ ምኞቶችን ይመኛሉ:: እነርሱም መጠራጠርን እንጂ ትክክለኛ እውቀት የላቸዉም::",""
86,2,79,"79. እነዚያ መጽሐፍን በእጆቻቸው ለሚጽፉና ከዚያ በእርሱ ጥቂት ዋጋን ሊገዙበት ብለው: «ይህ ከአላህ ዘንድ የወረደ ነው» ለሚሉ ሁሉ ወዮላቸው። እነርሱ ከዚያ እጆቻቸው ከፃፉት ወንጀል ወዮላቸው:: እነርሱ ከዚያ ከሚሰሩት ኃጢአት ወዮላቸው።",""
87,2,80,"80. (አይሁዶች) “የገሀነም እሳት ለተቆጠሩ ውስን ቀናት ብቻ እንጂ ፈጽሞ አትነካንም” አሉ። (መልዕክተኛችን ሙሐመድ ሆይ!) “በዚህ ጉዳይ ከአላህ ዘንድ ቃል ኪዳን ይዛችኋልን? ይህ ከሆነ አላህም ኪዳኑን አያፈርስም:: ወይስ በአላህ ላይ የማታውቁትን ትናገራላችሁን?” በላቸው።",""
88,2,81,"81. እንዴታ እነዚያ መጥፎን ተግባር የሰሩና በኃጢአትም የተከበቡ ሁሉ በእርግጥ የእሳት ጓዶች ናቸው:: እነርሱም በውስጧ ለዘላለም ዘውታሪዎች ናቸው።",""
