"Translation Info:
#---------------------------
8,2,1,"1. Alif laam miim [1].","[1]. Suuradaha Qur’aanka qaarkood waxay ku billowdaan xarfaha alifbeetada, sida alif laam miim, alif laam raa, iwm waxay ka mid yihiin afar iyo toban xaraf oo ku billaabasho iyo furitaan ahaan ku soo arooray sagaal iyo labaatan suuradood oo ku jira Qur’aanka.Waxaa la yidhi xuruuftaas waa magacyada suuradaha, waxaa sidoo kale la yidhi waa baraarujin iyo soo jeedin ahaan dadka, waxaa kaloo la yidhi, waa tilmaan in Qur’aanka uu ku soo degay afka Carabiga ee ka kooban xarfaha alifbeetada sidaas oy tahay ma jiro cid la imaan karta isagoo kale oo keeni karta oo waa kitaab mucjiz ah. Inkastoo siyaabahaas kala duwan loo fasiray, dhabta waxaa weeye Alle keliya baa u cilm u leh oo ogsoon macaanidooda, oo og muraadka uu ka leeyahay iyo wuxuu ula jeedo."
9,2,2,"2. Kitaabkaa (Qur’aanka), shaki kuma jiro, waa u hanuun dhowrsanayaasha [2].","[2]. Waa kuwa dhowra amarrada Alle ee iska jira shirkiga iyo xumaha kale sida gaalnimada, ku caasinta waalidka, xumeynta qaraabada iyo deriska, ku daadinta dhiig xaq darro, zinada, xatooyada, ribada, kibirka, sixirka, beenta, khiyaanada, qadafka, xasadka, xanta, diradirada, iwm."
10,2,3,"3. Ee ah kuwa rumeysan Ghaybka [3], ooga salaadda, waxaan siinnayna wax ka bixiya.","[3]. Waxa aan muuqan ee qarsoon sida malaa’igta, Jannada, Naarta, iwm."
11,2,4,"4. Ee (ah) kuwa rumeysan waxa (Qur’aanka) lagugu soo dejiyey (Nabi Muxammadow), iyo waxa la soo dejiyey (oo Waxyi ah) adiga hortaa [4], Aakhirona yaqiinsan.","[4]. Kutubta la soo dejiyey Nabi Muxammad s.c.w hortiis waa Towraadda, Injiilka, Zabuurka iyo Suxuftii Ibraahiim iyo kuwo kaleba."
12,2,5,"5. Kuwaasaa ku sugan hanuun (toosan) xagga Rabbigood ah, waana kuwaa kuwa ah liibaanayaasha.",""
13,2,6,"6. Kuwa gaalooba (ee xaq diidka ah) waa isugu mid haddaad u digto iyo haddaadan u digin, ma rumeynayaan.",""
14,2,7,"7. Wuxuu Alle ku dhigay shaabbad daboosha quluubtooda iyo maqalkooda, araggoodana waxaa ku rogan Caad [5]. Waxayna leeyihiin cadaab weyn.","[5]. Caad u diida qaadashada hanuunka. Arrintannina waxaa u sabab ah kibirkooda iyo ku madax adeyggooda denbiyada."
15,2,8,"8. Waxaa ka mid ah dadka kuwo (munaafiqiin ah) yidhaahda: Waxaanu rumeysannahay Alle iyo Maalinta Aakhiro oo aan ahaynba mu’miniin [6].","[6]. Nabigu s.c.w. wuxuu yidhi: Waxaa lay amray inaan la dagaallamo dadka intay ka qiraan oo yidhaahdaan ma jiro ilaah xaq lagu caabudo aan ahayn Allaah, iyo in Muxammad yahay Rasuulkii Alle, hadday sidaas yidhaahdaan way iga ilaashadeen dhiiggooda iyo maalkooda, waxaan xaq (Islaam ama xaq dadow) ahayn, xisaabintoodana waxaa leh Allaah Kor ahaaye.” (W.w. Al-Bukhaari iyo Muslim)."
16,2,9,"9. Waxay (dooni inay) dagaan Alle iyo kuwa rumeysan, mase dagayaan waxaan ahayn nafahooda, mase dareensana.",""
17,2,10,"10. Quluubtooda waxaa ah cudur (shaki, nifaaq, kibir, iwm), markaasuu Alle u kordhiyey cudur. Waxayna leeyihiin cadaab xanuun badan waxay been sheegi jireen darteed.",""
18,2,11,"11. Marka lagu yidhaahdo: Ha fasaadanina (hallaynina) arlada, Waxay yidhaahdaan: Waxaanu nahay uun wax hagaajiyaal.",""
19,2,12,"12. Ogaada, hubaal, Waa iyaga kuwa wax bi’iska ahi ee wax halleeya, mase ay dareensana.",""
20,2,13,"13. Marka lagu yidhaahdo: Rumeeya sida ay dadku wax u rumeeyeen, waxay yidhaahdaan: Ma waxaanu u rumeyn siday maangaabku u rumeeyeen? Ogaada, hubaal, waa iyaga kuwa maangaabka ahi, mase oga.",""
21,2,14,"14. Markay la kulmaan kuwa (Xaqa) rumeysan, waxay (munaafiqiintu) yidhaahdaan: Waanu rumaysannahay innaguba. Markase ay isla keli noqdaan shaydaamadooda (madaxdooda xun), waxay yidhaahdaan: Innagu idinkaynu idinla jidhnaa; waa uun iska jeesjeeseennay.",""
22,2,15,"15. Alle baa ku jees-jeesi, wuxuuna kaga tagi xadgudubkooda banbaxsan ee ay ku jaha wareersan yihiin indha la’aan.",""
23,2,16,"16. Kuwaasi waa kuwa iibsada habowga halkii hanuunka, sidaas awgeed ganacsigoodu ma keeno wax faa’ido ah, Mana aha kuwo hanuunsan.",""
24,2,17,"17. Mataalkooda, wuxuu ka dhigan yahay sida mid shitay dab; markiise uu ifiyey waxa hareerihiisa ah oo dhan, wuxuu Alle ka qaaday nuurkoodii, ugana tegay gudcurro mugdi ah oo aanay waxba arkeyn",""
25,2,18,"18.(Xaqa) waa ka dhego la’ yihiin, af la' yihiin, indho la' yihiin, umana soo laabtaan.",""
26,2,19,"19. Ama (waa) sida roob darar ah ka yimaada daruuraha oo wata gudcurro madow, onkod, iyo hillaac: waxay geliyaan farahooda xagga dhegahooda biriqyada dartood baqe ay ka qabaan mowtka. Allena waa ku hareersan yahay gaalada.",""
27,2,20,"20. Hillaacu wuxuu sigaa inuu dafo arragooda, mar kastoo u ifiyo (jidka) way ku socdaan, markase mugdi ku yimaado dushooda way joogsadaan. Hadduu Alle doono, wuxuu la tegi lahaa maqalkooda iyo araggooda. Hubaal Alle wax walba Wuu Karaa.",""
28,2,21,"21. Dadow! Caabuda Rabbigiin, ee idin abuuray idinka iyo kuwii idinka horreeyay, si aad u dhowrtaan (amarrada Alle oo Isaga jirtaan shirkiga iyo xumaha kale).",""
29,2,22,"22. Allahaasoo idiinka yeelay dhulka gogol (fidsan), cirkana saqaf, idiinkana soo dejiyey daruuraha biyo (roob), kuna soo bixiyey midhaha risiqa idiin ah. Ee ha u yeelina Alle shariikyo aad la mid dhigtaan idinkoo ogsoon (inaysan jirin cid la mid ah).",""
30,2,23,"23. Haddaad ka shakisan tihiinna waxaan ku soo dejinnay addoonkayaga ( Nabi Muxammad) oo Waxyi ah, keena Suurad la mid ah (Qur’aanka), una yeedha markhaatiyadiinna (kaalmeeyayaashiinna) Alle ka sokow, haddaad run sheegaysaan.",""
31,2,24,"24. Haddaydaan falin, mana faleysaane, iska jira Naarta shidaalkeedu yahay dad iyo dhagax (sanamadii ay caabudayeen), ee loo diyaarshay gaalada.",""
32,2,25,"25. Ugu bishaaree kuwa (Xaqa) rumeysan oo samaha fala, inay leeyihiin beero (Jannooyin) ay hoostoodu webiyo qulqulaan. Mar kasta oo laga siiyo midho, Waxay odhan: Kani waa wixii hore naloo siiyey oo kale, waxaana la siiyey iyagoo isu eg (muuqaal ahaan kala duwan se dhadhan ahaan), waxayna ku leeyihiin dhexdeeda (Jannada) xaasas la daahiriyey, wayna ku dhex waari weligood.",""
33,2,26,"26. Dhabtii Alle kama xishoodo inuu u soo qaato tusaale - kaneeco ama wax ka sii yarba [7]. Ma kuwa rumeysan, waxay og yihiin inuu yahay xaq ka yimid Rabbigood, kuwase gaalooba waxay yidhaahdaan: Muxuu ugula jeedaa Alle tusaalaha kani? Wuxuu ku habaabiyaa in badan, kuna hanuuniyaa in badan. Kumana habaabiyo waxaan ahayn caasiyaasha (macangagga ah madaxa adag).","[7]. Markay gaaladu yidhaahdeen: Maxaa looga jeedaa caadhada iyo duqsiga lagu sheegay Qur’aanka buu Alle Kor ahaaye soo waxyooday Aayaddan."
34,2,27,"27. Ee ah kuwa ka baxa ballanka Alle kaddib sugiddiisa, oo gooya waxa Alle uu amray in la xidhiidhiyo (oo la wanaajiyo sida qaraabada iyo deriska), ee ku fala fasahaad arlada, kuwaasi weeye kuwa khasaaray [8].","[8]. Khasaaro ama fisiq (caasiyoobid) ama dulmi (gef - gardarro) ama kufri (gaalnimo) oo lagu sheego cidaan muslim ahayn waxaa loola jeedaa heer gaalnimo weyn ee diinta bannaanka lagaga yahay, wixii se khasaaro ama fisiq ama dulmi ama gaalnimo ah oo Alle ku sheego qof Muslim ah waxaa loola jeedaa inuu ku jiro denbi aad u weyn aanse diinta looga bixin."
35,2,28,"28.Sidee baad (dadow) ugu gaaloobeysaan Alle idinkoo ahaa meyti (ku jira uurarka hooyooyinkiin) buu markaa idin nooleeyey (naf idin galiyey), dabadadeed idin dhinsiin, dabadeedna idin soo nooleyn mar kale (Aakhirada), kaddibna Xaggiisa la idiin soo celin (Qiyaamada).",""
36,2,29,"29. (Alle) waa Kan idiin abuuray waxa dhulka korkiisa ah oo dhan, markaas u qasday samada, oo aheysiiyey toddobo samood, wax walbana wuu Og yahay.",""
37,2,30,"30. (Xus, Nabiyow) markuu Rabbigaa ku yidhi malaa’igta: Waxaan yeeli dhulka facyo is xigsada oo maamula. Waxay yidhaahdeen: Ma waxaad yeelaysaa gudaheeda kuwo fasahaadsha oo dhiig daadsha, innagoo ku tasbiixsanna xamdigaaga oo ku hufna, oo ku xurmo weyneyna. (Alle) Wuxuu yidhi: Waxaan ogahay wax aydaan ogeyn.",""
38,2,31,"31. Wuxuu (Alle) baray Aadam magacyada shey waliba, markaasuu u soo bandhigay malaa’igta oo yidhi: Ii sheega magacayda kuwani, haddaad run sheegaysaan.",""
39,2,32,"32. Waxa yidhaahdeen: ""Xurmo oo dhan Adigaa iska leh oo ceeb iyo nuqsaan ka hufan. Ma lihin cilmi aan aheyn waxaad na bartay"". Hubaal waa Adiga wax kasta Ogaha, Xakiimka ah.",""
40,2,33,"33. (Alle) wuxuu yidhi: Aadamow! U sheeg magacyadooda. Markuu u sheegay magacyadooda, Wuxuu (Alle) yidhi: Miyaanan idinku odhan waxaan Anigu Ogahay waxaan muuqan ee jira samooyinka iyo arlada, waxaana Ogahay waxaad muujisaan iyo waxaad qarisaan?",""
41,2,34,"34. (Xus) markaan ku nidhi malaa’igta: U sujuuda Aadam, markaasay sujuudeen Ibliis mooyee, waa uu diiday oo isla weynaaday, oo ahaaday mid ka abaal dhaca Alle (oo ku caasiya Amarkiisa).",""
42,2,35,"35. Waxaanu nidhi: Aadamow! Dega adiga iyo xaaskaaga Jannada, oo ku cuna bashbash iyo barwaaqo meeshaad doontaanba, hase u dhowaannina geedkan, si aydaan ugu dhicin gef (denbi).",""
43,2,36,"36. Shaydaanka baase ka sidbiyey oo ka soo saaray (halkaa) ay ku jireen (Jannada); Waxaana nidhi: Ka dega (dhammaantiin halkan) iyagoo qaarkiinba qaar u yahay cadow. Waxaadna ku leedihiin arlada degaan iyo sahay muddo go'an leh.",""
44,2,37,"37. Markaasuu Aadam ka helay Rabbigiis ereyo uu ku ilhaamiyey [9], wuuna ka tawbad aqbalay. hubaal (Alle) waa Tawbad Aqbalaha, Naxariista Badan.","[9]. Alle wuxuu baray Aadam kelmedo lagu tawbad dalbo uu ka aqbalay, waana kelmedaha ku soo arooray Suuradda Al- Acraaf Aayadda: 23."
45,2,38,"38. Waxaanu nidhi: Ka dega xaggeeda (Jannada) dhammaantiin, markuu Xaggayga idiinka yimaado hanuun, qofkii raaca Hanuunkayga, cabsi ma ahaaneyso korkooda, mana murugoonayaan.",""
46,2,39,"39. Kuwase gaalooba oo beeniya Aayadahayaga, waa iyaga ehlu-Naarka, gudaheeday ku dhex waari weligood.",""
47,2,40,"40. Ilmahii Israa’iilow! Xusuusta Nicmaddayda aan idiinku nicmeeyey, oo oofiya ballanteyda (idin saaran, ee ah inaad rumeysaan Nabi Muxammad), waxaan oofin ballantaan idinka qaaday (oo ah inaan markaas idinku abaalmariyo janno), Anigoo Keliyana iga cabsada.",""
48,2,41,"41. Rumeeyana waxaan soo dejiyey (Qur’aanka) xaqiijinaya waxaad haysataan (Towraadda iyo Injiilka), oo ha noqonnina kuwa u horreeya ee ku gaalooba (Qur’aanka iyo Nabi Muxammad), hana siisannina Aayadahayga (ku cad Kutubtiinna ee ka hadlaya imaanshaha Nabi Muxammad) qiimo yar (si aad u qarisaan), Anigoo Keliyana iga cabsada (oo iska jira xumaha).",""
49,2,42,"42. Hana ku dheehina Xaqa waxaan jirin oo been ah,oo ha qarinnina Xaqa (imaanshaha Nabi Muxammad ee ku qoran Kutubtiinna Towraadda iyo Injiilka) idinkoo ogsoon.",""
50,2,43,"43. Ooga salaadda, bixiyana Sakada, lana rukuuca jamaca Rukuucayaasha.",""
51,2,44,"44. Ma waxaad amraysaan samaan dadka oo hilmaameysaan nafahiinna [10] idinkoo akhriya Kitaabka? Miyeydaan wax fahmin?","[10]. Nabigu s.c.w. wuxuu yidhi: “Waxaa Maalinta Qiyaame la keeni nin oo lagu tuuri Naarta, markaasuu wuxuu ku dhex wareegaaleysan ehlu Naarka sida dameerka ugu wareegsado shiidkiisa, markaasay isugu soo ururi ehlu Naarka oo weydiin: Hebelow, ma waadan fari jirin samaanta oo reebi jirin xumaanta, markaasuu wuxuu odhan: Waxaan fari jirey samaanta mana fali jirin oo reebi jirey xumaanta anigaana fali jirey.”"
52,2,45,"45. Kaalmaysta Sabarka iyo salaaddda, wayna ku weyn tahay (culus tahay salaadda) kuwa 'ku' khushuuca 'salaadda' mooyee.",""
53,2,46,"46. Kuwa huba inay la kulmi Rabbigood, iyo inay Xaggiisa u soo laaban (Qiyaamada).",""
54,2,47,"47. Ilmahii Israa’iilow! Xusuusta Nicmad- deyda aan idiinku nicmeeyey, iyo inaan idinka doortay dadkii (waqtigiinna Anigoo idiin soo diray Rusul oo idinku soo dejiyey Kutub oo idinka yeelay boqorro).",""
55,2,48,"48. Iska jirana Maalin marka aysan nafi wax u tareyn naf kale, oo aan laga aqbaleyn shafeeco, lagana qaadanayn madax furasho, loona gargaareyn.",""
56,2,49,"49. (Xusuusta) markaan idinka badbaadinnay dadkii Fircoon [11], ee idin dhadhansiiyey cadaab tan u daran, iyagoo dilayey wiilashiinna, oo deysanayey haweenkiinna (si ay ugu adeegtaan), waxaana taas ku sugnaa imtixaan weyn xagga Rabbigiin ah.","[11]. Fircoon waa naynaas lagu magacabi jirey boqorradii Masar ee waa’ hore jirey, waxaa ku soo arooray taariikhda in Fircoonkii xukumayey Masar waagii Muuse uu ahaa Menephthan ina Ramsiis."
57,2,50,"50. Markaan idiin kala dhanballay badda, oo aan idin badbaadinnay, oo aan harqinnay dadkii Fircoon idinkoo arkaya.",""
58,2,51,"51. (Xusuusta) markaan la sameennay ballan Muuse muddo afartan habeen ah, markaas aad yeelateen dibi (aad caabuddaan) kaddib (markuu tagey), waxaad tihiinna daalimiin (gar ma qaatayaal).",""
59,2,52,"52. Markaasaan idin cafinnay intaas oo dhan kaddib si aad u mahdisaan (Alle).",""
60,2,53,"53. (Xusuusta) markaan siinnay Muuse Kitaabka (Towraadda) kala saaraha (xaqa iyo baadilka) si aad u hanuuntaan.",""
61,2,54,"54. (Xus) markuu Muuse ku yidhi tolkiisii: Tolkaygiiyow! Waxaad dulmideen nafahiinna ka dhigashadiinna dibiga (ilaah darteed). Ee u tawbad keena Uumihiinna oo is dila [12], Sidaasaa idiin khayr badan Uumihiinna xaggiisa, markaasuu (Alle) idinka aqbalay tawbaddiinnii, hubaal waa Tawbad Aqbalaha, Naxariista Badan.","[12]. “ Is dila”. waxaa lagu fasiray kuwii aanan caabudin dibiga inay dilaan oo laayaan kuwii caabuday dibiga, qolo kale waxay ku fasirtay inay kuwii caabuday dibiga iyagu is dileen dhexdooda, waxaana jira qolo ku fasirtay in la amray inay is dilaan kuwaasi tawbad keen ahaan."
62,2,55,"55. (Xusuusta) markaad tidhaahdeen: Muusow! Kuma rumeysaneyno jeer aan u aragno Alle si caddaan ah. markaasaa biriq idinku dhacday idinkoo eegi.",""
63,2,56,"56. Haddana waan idin soo nooleynay dhimashadiinnii kaddib, si aad u mahdisaan (Alle, af, uur, iyo addinba).",""
64,2,57,"57. Waxaana har idiinka yeellay daruuraha, oo idiin soo dejinnay Manna (kimis macaan malab sidi ah) iyo Salwaa (hilib shimibireed sida Samaanka): Wax ka cuna waxyaalaha wanaagsan aanu idin siinnay; waxbana nooma dhimin, waxayse uun dulmeen oo wax u dhimeen nafahooda.",""
65,2,58,"58. (Xusuusta) markaan nidhi: Gala magaaladan (Qudus), oo wax ka cuna meeshaad doontaan bashbash iyo barwaaqo, galana albaabka idinkoo hoggaansan oo dhaha: Naga rid culeysyadayada (denbiyada), Waanu idiin dhaafi (markaa) gafafkiinna, waxaana u kordhin sama falayaasha (ajar).",""
66,2,59,"59. Markaasay ku beddeleen kuwii dulmiga (shirkiga iyo xumaha kale) falay hadalkii lagu yidhi mid aan ahayn, markaasaan waxaan ku soo dejinnay kuwaasi dulmiga falay cadaab (daacuun) kaga yimid samada caasintoodii darteed.",""
67,2,60,"60. (Xus) markuu Muuse u biyo doonay qolodiisii, markaasaan ku nidhi: Ku dhufo ushaada dhagaxa, waxaa kolkiiba ka soo burqaday labo iyo toban ilood. Waxay (qolo) walbaa ogaadeen halkay ka cabbayaan biyaha. Cuna oo wax ka cabba risiqa Alle, hana ugu dhaqmina si foolxun arlada idinkoo ku faafinaya fasaad.",""
68,2,61,"61. (Xusuusta) markaad tidhaahdeen: Muusow! Kuma samri karno hal nooc oo cunto ah. Ee noo bari Rabbigaa ha noo soo saaro'e waxa dhulka ka soo baxa,oo leh bagalkiisa, qiyaarkiisa, sareenkiisa, toontiisa, digirtiisa iyo basashiisa. (Muuse) wuxuu yidhi: Ma waxaad ku beddelaneysaan waxa khayr roon wax ka hooseeya? U daadega magaalo uun, waxaad ka heli waxaad dalabteen. Dulli iyo darxumo baana lagu daboolay, oo la laabteen Cadho xagga Alle (oo dushooda ah). Taasi waxaa ugu wacnaa waxay (marar badan) diideen Aayadaha Alle, oo ku dileen Nabiyo gar darro. Taasi waxaa ugu wacnaa inay caasiyoobeen oo xadgudbi jireen.",""
69,2,62,"62. Hubaal kuwa rumeeyey (ee ka mid ah ummaddan) iyo kuwii heystay Yuhuudiyada ama Nasaarada ama Saabbi’iinta (ka hor Nabi Muxammad s.c.w), kuwaa ka midka ah ee rumeeyay Alle iyo Maalinta dambe (Aakhiro) oo sama falay, waxay ka heli abaalkooda xagga Rabbigood, cabsi ma ahaaneyso korkooda, mana murugoonayaan.",""
70,2,63,"63. (Xusuusta) markaan idinka qaadnay ballan adag, oo kor u soo qaadnay Buurta dushiinna (Annagoo leh): Ku qaata waxaan idin siinnay (Towraadda) go’aan adag, oo xusa waxa ku yaal, si aad isaga jirtaan (shirkiga iyo xumaha kale).",""
71,2,64,"64. Markaasaad jeesateen intaas kaddib, haddaanu Fadliga Alle iyo Naxariistiisu korkiinna ahaateen, waxaad ka mid ahaan laheydeen kuwa khasaaray.",""
72,2,65,"65. Waxaad dhab ahaan ogtihiin 'Yuhuudey' kuwaas idinka mid ah ee ku xadgudbay arrinkii Sabtida, Waxaanuna ku nidhi: Noqda daayeerro dulleysan oo deyro ah.",""
73,2,66,"66. Waxaana ka yeelnay ciqaabtan mid ay ku cibrad qaataan kuwaa joogay waqtigaa iyo kuwii ka dambeeyey iyo waano ku socota kuwa Alle ka cabsada (ee iska jira xumaha).",""
74,2,67,"67. (Xus) markuu Muuse ku yidhi tolkiisii: Alle wuxuu idin amri inaad gowracdaan sac [13]. Waxay yidhaahdeen: Miyaad nagu jeesjeesi. Wuxuu yidhi: Waxaan ka magan galayaa Alle inaan ka mid noqdo jaahiliinta.","[13]. Xikmadda gowricidda saca waa si looga gooyo qalbiyadooda xurmeynta dibigii ay horay u caabudeen. Markiina qayb ka mid ah saca la gowracay lagu dhuftay ninkii la dilay. Wuxuu Alle u soo celiyey nafta ninkii, kaasoo u sheegay ninkii dilay."
75,2,68,"68. Waxay yidhaahdeen: Noo bari Rabbigaa; inuu noo caddeeyo waxay tahay. (Muuse) wuxuu yidhi: (Alle) Wuxuu leeyahay, waa sac aan duq aheyn iyo ugub midna, oo u dhexeysa labadaa xaaladood; ee fala waxa la idin amray.",""
76,2,69,"69. Waxay yidhaahdeen: Noo bari Rabbigaa inuu noo caddeeyo waa maxay midabkee- du. Wuxuu yidhi: Wuxuu leeyahay, Waa sac huruud ah oo midabkeedu cad yahay, ay u bogayaan arkayaasha.",""
77,2,70,"70. Waxay yidhaahdeen: Noo bari Rabbigaa inuu noo caddeeyo waxay tahay, lo’dii (oo dhan) baa isaga kaaya ekaatay, haddii Alle idmo waxaan ahaan kuwo hanuunsan.",""
78,2,71,"71. Wuxuu yidhi: Wuxuu leeyahay, waa sac aan loo tababarin inay fasho arlada ama inay waraabiso beeraha, ka maran ceeb, oo aan lahayn wax bar ah.Waxay yidhaahdeen: Haatan baad la timid xaqa. Markaasay gowraceen, inkastoy ku dhowaadeen inayan sameyn (cinaad darti).",""
79,2,72,"72. (Xusuusta) markaad disheen nin, oo isku qabateen (cidda dishay), Allese wuxuu ahaa mid u soo saaraya debedda waxaad qarineyseen.",""
80,2,73,"73. Markaasaanu nidhi: Ku dhufta (ninka la dilay) wax ka mid ah (sacaa la gowracay). Sidaasuu Alle u soo nooleeyaa meytida, wuxuuna idin tusaa calaamooyinkiisa si aad u garowsataan.",""
81,2,74,"74. Markaasay qallashay quluubtiinnu intaa kaddib, waana sida dhagaxda oo kale, ama ka adayg badanba. waayo waxaa jira dhagaxyada qaar ay ka soo burqadaan webiyo, oo waxaa jira qaar ka mid ah oo dildillaaca markaas biyo ka soo shubmaan, oo waxaa jira qaar ka mid ah oo la soo dhaca cabsi Alle darteed [14]. Alle ma mooga waxaad falaysaan.","[14]. Nabigu s.c.w. wuxuu yidhi: “Waxaan garan dhagax ku yiil Makkah oo I salaami jirey intaan lay soo dirin Nabi ahaan.”w.w. Muslim."
82,2,75,"75. Ma waxaad damac ka qabtaan (mu’miniintoy) inay wax idinka rumeystaan (Yuhuuddu) iyagoo koox ka mid ah ay dhageysan jireen Hadalka Alle, haddana beddelaan (Towraadda) [15] intay fahmeen kaddib iyagoo og (inay gefsan yihiin)?","[15]. waxaa loolaa jeedaa Yuhuuddii ku nooleyd Madiina ee beddelay Towraadda gaar ahaan wixii ku saabsanaa oo la xiriiray imaanshaha Nabi Muxammad s.c.w."
83,2,76,"76. Markay la kulmaanna kuwa (Xaqa) rumeeyey (Muslimiinta), waxay yidhaah- daan: Waan rumaysannahay, markase ay keli isla noqdaan qaarkoodba qaar, waxay yidhaahdaan: Ma waxaad uga warramey- saan waxa uu Alle idiin caddeeyey [16], si ay iyagu idinkula doodaan arrintaa Rabbigiin horti? Ma waydaan wax fahmeyn?","[16]. Towraadda waxaa ku yiil caddeyn in Nabi Muxammad s.c.w. yahay kan lagu khatimayo anbiyada Alle, ha yeeshee Yuhuuddu way qariyeen iyagoo ka cabsaday inay ku dheef waayaan oo ka soo gaaro dhib iyo waxyeello."
84,2,77,"77. Miyeyna ogayn in Alle og yahay waxay qarin iyo waxay muujin?",""
85,2,78,"78. Waxaa ka mid ah (ehlu Kitaabka) caamo aan aqoon Kitaabka, hase yeeshee isku maaweeliya hididdiilooyin been ah, ee se iska maleeya uun (inuusan Nabi Muxammad ku qorneyn Kutubtooda).",""
86,2,79,"79. Hoog waxaa leh kuwa ku qora Kitaabka gacmahooda, markaas yidhaahda: Kani wuxuu ka yimid xagga Alle, si ay u siistaan qiimo yar. Hoog bay leeyihiin waxay gacmahooda qoreen darteed, hoog bayna leeyihiin waxay kasbadaan darteed (oo denbiyo ah).",""
87,2,80,"80. Waxay (Yuhuuddu) yidhaahdeen: Naari nama taabaneyso waxaan aheyn ayaamo tirsan. Dheh: Ma waxaad ka heysataan ballan xagga Alle, marka Alle ma ka baxo ballankiisa? Mise waxaad ka sheegeysaan Alle wax aydaan ogeyn?",""
88,2,81,"81. Haayoo, Qofkii kasbadaa xume (ku dhaca shirki) ee uu gefkiisu hareereeyo, kuwaasu waa ehlu Naar, way ku dhex waari weligood.",""
89,2,82,"82. Kuwase (Xaqa) rumeeyey oo samaha fala [17], kuwaasu waa ehlu Jannada, way ku dhex waari weligood.","[17]. Cabdullaah bin Mascuud a.k.r. Waxaa laga soo weriyey inuu yidhi: Rasuul Allow camal kee baa u fiican? Wuxuu yidhi: Salaadda oo waqtigeeda la tukado, wuxuu weydiiyey: Maxaa xiga? Wuxuu yidhi: Labada waalid oo la wanaajiyo oo baarri loo ahaado. Wuxuu weydiiyey: Haddana maxaa xiga? Wuxuu yidhi: In loo jihaado Alle darti. (W.w. Al-Bukhaari iyo Muslim)."
90,2,83,"83. (Xus) markaan la galnay Ilmahii Isaraa’iil ballan (leh): Ha caabudina waxaan ahayn Allaah, waalidkana u sama fala, qaraabada, agoomaha iyo masaakiinta, oo kula hadla dadka hadallo san, oogana salaadda, oo bixiya Zakada, markaasaad jeesateen in yar oo idinka mid ah maahee (imminkana sidoo kale) dhinac baad u jeesataan.",""
91,2,84,"84. (Oo xusuusta) markaan idinla gallay ballan (leh): Ha daadinnina dhiiggiinna (midkiinba midka kale), hana iska qixinnina guryahiinna, markaasaad qirteen idinkaana marag ka ah.",""
