"Translation Info:
#---------------------------
52,2,45,"45. Барајте помош со трпеливоста и со намазот (молитвата). Тоа е навистина тешко, освен за послушните,",""
53,2,46,"46. кои се убедени дека ќе се сретнат со Господарот свој и дека Нему ќе Му се вратат.",""
54,2,47,"47. О, синови Израилови! Сетете се на благодатите Мои кои ви ги подарив и за тоа што над другите светови ве одликував.",""
55,2,48,"48. И плашете се од Денот кога никој за никого нема да може ништо да направи; кога ничие посредување нема да биде примено, кога од никого откуп нема да се прими и кога на луѓето никој нема да им излезе на помош!",""
56,2,49,"49. И кога ве спасивме од луѓето на фараонот кои со најтешки маки ве мачеа: машките деца ви ги колеа, а женските во живот ги оставаа – тоа ви беше големо искушение од Господарот ваш.",""
57,2,50,"50. И кога поради вас морето го раздвоивме и ве спасивме, а луѓето на фараонот пред ваши очи ги потопивме!",""
58,2,51,"51. И кога одредивме средба со Муса[17], вие потоа четириесет ноќи обожувавте теле, правејќи си самите себеси неправда.","[17] Муса – Старозаветниот пророк Мојсеј. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот."
59,2,52,"52. Потоа, и покрај сè, ви простивме за да бидете благодарни.",""
60,2,53,"53. И кога на Муса му дадовме Книга и упатство за разликување на вистината од невистината, за да бидете упатени.",""
61,2,54,"54. И кога Муса му рече на народот свој: „Народе мој, вие навистина самите себеси неправда си сторивте прифаќајќи го телето; затоа на Создателот свој покајте Му се и убивајте се меѓу себе![18] Тоа е подобро кај Создателот ваш, па ќе ви прости. Тој го прима покајанието и Милостив е!","[18] Тие што се во право со смрт да ги казнат неправедните."
62,2,55,"55. И кога вие рековте: „Муса, ние нема да ти веруваме сè додека Аллах јасно не Го видиме!“ – па, молња ве удри додека гледавте,",""
63,2,56,"56. а потоа по смртта ваша ве оживеавме, за да бидете благодарни.",""
64,2,57,"57. И Ние од облаците ладовина ви направивме, и мана[19] и потполошки ви испраќавме: „Јадете ги убавите јадења со кои ве снабдивме!“ Тие Нам не ни наштетија, туку самите себеси неправда си сторија!","[19] Ел-мен (ар.) – храна која Аллах им ја испратил на eвреите кога тие талкале во пус­тината; „леб од рајот“."
65,2,58,"58. И кога рековме: „Влезете во овој град и јадете колку што сакате; влезете низ портата извршувајќи сеџда и кажете: ,Прошка!‘, па ќе ви ги простиме гревовите ваши, а на тие што прават добри дела ќе им дадеме и повеќе од тоа.“",""
66,2,59,"59. Тогаш неправедните го заменија со друг Зборот кој им беше даден, па Ние на неправедните казна од небото им спуштивме, затоа што грешеа.",""
67,2,60,"60. И кога Муса за народот свој молеше за вода, Ние рековме: „Удри со стапот свој по карпата!“ Од неа дванаесет извори протекоа и секое племе знаеше од кој извор ќе пие! „Јадете и пијте од Аллаховото снабдување и не чинете зло по Земјата правејќи неред.“",""
68,2,61,"61. И кога рековте: „Муса, ние не можеме повеќе една иста храна да јадеме. Затоа замоли Го Господарот свој да ни подари од тоа што земјата раѓа: зеленчук и краставици, пченица, леќа и кромид!“ Тој рече: „Зарем тоа што е подобро да го замените со тоа што е полошо? Одете во некоја земја, ќе го имате тоа што го барате!“ И понижувањето и бедата на нив паднаа и гневот на Аллах на себе го навлекоа, затоа што во Аллаховите докази не веруваа и затоа што веровесниците невини ги убиваа, затоа што непослушни беа и сите граници на злото ги преминуваа.",""
69,2,62,"62. Тие што веруваа, и тие што беа евреи[20], христијани и Сабијци[21], а веруваа во Аллах и во другиот свет и правеа добри дела – навистина ги очекува награда од Господарот нивен; и за нив нема страв и тие нема да тагуваат.","[20] Евреите се спомнуваат како припадници на религија, а не како народ, па затоа секаде овој збор ќе биде напишан со мала буква, на ист начин како и за хрис­ти­ја­ни­те и за муслиманите.
[21] Сабијци се народ кој живеел во Мосул, Ирак, кои изговарале „Ла илахе иллаллах“ – (не постои друго божество достојно за обожување освен Аллах), го читале Зебурот (Псалмите на Сабијците) и не биле ни eвреи ни христијани. Сабијците треба да се разликуваат од Сабејците, древна семитски етничка група во јужна Ара­бија, кои живееле на територијата на денешен Јемен."
70,2,63,"63. И кога од вас заветот го зедовме и над вас планината Тур ја кренавме: „Силно прифатете го тоа што ви го дадовме и нека ви е на ум тоа што е во Книгата, за да се сочувате од казната!“",""
71,2,64,"64. Потоа вие отстапивте, и да не беше Аллаховата добрина и милост кон вас, вие навистина ќе страдавте.",""
72,2,65,"65. Вам ви е веќе познато што им се случи на тие што за саботата влегоа во грев, па Ние им рековме: „Бидете мајмуни презрени!“",""
73,2,66,"66. Тоа го направивме како опомена за современиците и за нивните поколенија, а поука за богобојазливите.",""
74,2,67,"67. И кога Муса му рече на народот свој: „Аллах навистина ви наредува да заколете крава!“, тие го запрашаа: „Дали се шегуваш со нас?“, а Муса им одговори: „Да не даде Аллах да бидам од незналците.“",""
75,2,68,"68. Рекоа: „Замоли Го Господарот свој во наше име да ни објасни каква треба да биде кравата!“ „Тој вели“ – одговори тој – „дека кравата не смее да биде ни стара, ни млада, туку помеѓу тоа, средна возраст, па сторете го тоа што од вас се бара!“",""
76,2,69,"69. „Замоли Го Господарот свој“ – рекоа тие – „да ни објасни каква боја треба да биде!“ „Тој вели“ – рече тој – „дека таа, кравата, треба да биде со светложолта боја, да им се допадне на тие што ќе ја видат.“",""
77,2,70,"70. „Замоли Го Господарот свој“ – рекоа тие – „да ни објасни каква уште треба да биде, бидејќи нам кравите ни изгледаат слични, а ние неа, ако Аллах сака, сигурно ќе ја пронајдеме.“",""
78,2,71,"71. „Тој вели“ – рече тој – „кравата не смее да биде исцрпена од орање на земјата и од наводнување на посевите; треба да биде без никаква мана и без никаков белег.“ „Е, сега ја опиша како што треба!“ – рекоа, па ја заклаа, и тоа eдвај го сторија.",""
79,2,72,"72. И кога убивте еден човек, па околу него почнавте да се препирате, Аллах даде на виделина да излезе тоа што го скривте.",""
80,2,73,"73. Па Ние рековме: „Удрете го (мртвиот) со некој нејзин дел!“ – ете така Аллах мртвите ги враќа во живот и ви ги покажува доказите Свои, за да сфатите.[22]","[22] Овие eвреи во текот на Мусаовиот живот убиле еден човек, а убиецот го сокриле. Им било наредено да заколат одредена крава и убиениот да го удрат со еден кравји дел. Кога го направиле тоа, убиениот оживеал, кажал кој го убил и веднаш потоа повторно умрел."
81,2,74,"74. Но срцата ваши, после тоа, станаа тврди како камен, или уште потврди! А има камења од кои реки избиваат; има камења кои пукаат и од кои вода излегува, а навистина има и такви кои од страв пред Аллах се рушат. А Аллах не го занемарува тоа што вие го правите.",""
82,2,75,"75. Зарем вие се надевате дека тие (eвреите) ќе ви поверуваат, иако некои од нив Аллаховиот говор го слушаа, за, откако го сфатија, свесно да го искриват?",""
83,2,76,"76. Кога ќе ги сретнат верниците, тие велат: „Веруваме!“, а штом ќе останат сами едни со други, велат: „Зарем ќе им го кажувате тоа што Аллах вам ви го објавил, па тоа да им биде обвинение против вас пред Господарот ваш? Зарем нема да се опаметите?“",""
84,2,77,"77. А зарем тие не знаат дека Аллах го знае и тоа што го кријат и тоа што го покажуваат?",""
85,2,78,"78. Некои од нив се неписмени и не знаат за Книгата, туку само измислици. Тие само измислуваат.",""
86,2,79,"79. А тешко на тие кои со своите раце пишуваат книга, а потоа велат: „Ова е од Аллах.“, со цел незначителна корист да извлечат. И тешко ним за тоа што нивните раце го пишуваат и тешко ним што на тој начин заработуваат!",""
87,2,80,"80. Тие велат: „Огнот нема да нè допира повеќе од неколку дена.“ Кажи: „Дали добивте ветување од Аллах за тоа – бидејќи Аллах нема да го прекрши ветувањето Свое – или за Аллах го кажувате тоа што не го знаете?“",""
88,2,81,"81. А не е така! Бидејќи тие што ќе прават зло и гревовите нивни ќе ги стигнат од сите страни, тие жители на Џехенемот[23] (пеколот) ќе бидат и во него вечно ќе останат.","[23] Џехенем (ар.) – пекол. Во понатамошниот текст ќе се употребува во својата из­ворна форма."
89,2,82,"82. А тие што ќе веруваат и што ќе прават добри дела – тие ќе бидат жители на Џенетот и во него вечно ќе престојуваат.",""
90,2,83,"83. И кога од синовите Израилови зедовме завет дека само Аллах ќе Го обожувате, и на родителите и на ближните и на сирачињата и на сиромашните добри дела ќе им чините, а на луѓето убави зборови ќе им говорите; и дека намазот (молитвата) ќе го извршувате и зекат ќе давате, вие потоа, освен малкумина од вас, се изопачивте и заветот го изневеривте.",""
91,2,84,"84. И кога од вас зедовме завет дека крв едни на други нема да пролевате и дека меѓусебно од домовите ваши нема да се прогонувате, вие тоа го прифативте и посведочивте.",""
92,2,85,"85. Потоа, вие сепак едни со други се убивате, а поединци од вас од родниот крај ги прогонувате, помагајќи се против нив со грев и насилство, па ако ви дојдат како заробеници, вие ги откупувате. А забрането ви е да ги прогонувате! Зарем во едниот дел на Книгата верувате, а другиот го негирате?! Тие од вас кои тоа го прават, на овој свет само понижување може да ги стигне, а на Судниот Ден на најтешки маки ќе бидат ставени! Аллах не пропушта да внимава на тоа што го правите.",""
93,2,86,"86. Тоа се тие кои на животот на овој свет му дале предност над животот на оној свет; затоа страдањето нема да им се олесни, ниту некој ќе им помогне.",""
94,2,87,"87. И Ние на Муса Книга му дадовме, и после него еден по друг Пратеници праќавме, а на Иса[24], синот Мерјемин[25], јасни докази му дадовме и со Џибрил[26] го помогнавме! И кога и да ви го донесеше тоа, некој од Пратениците, што не им годеше на душите ваши, вие се вообразувавте, па едните за лага ги клеветевте, а другите ги убивавте.","[24] Иса – Исус. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот.
[25] Мерјем – Марија, мајката на Исус. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот.
[26] Џибрил (ар.) – Архангелот Гаврил. Една од неговите задачи била и доста­ву­ва­ње­то на Божјото Откровение до одбраните Пратеници и Веровесници низ човечката исто­рија. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот."
95,2,88,"88. Тие велат: „Нашите срца се во обвивки.“ А не е така, туку Аллах нив ги проколнал заради неверувањето, затоа што малкумина од нив веруваат.",""
96,2,89,"89. А кога од Аллах им доаѓа Книга, која ја потврдува вистинитоста на тоа што го имаат – а отпорано бараа помош против неверниците – кога им доаѓа тоа што им е познато, тие во тоа не сакаат да веруваат! Па Аллаховото проклетство нека ги стигне неверниците!",""
97,2,90,"90. Бедно е тоа за што се продадоа: да не веруваат во тоа што Аллах го објавува, поради злоба што Аллах од добрината Своја дава кому Тој сака од робовите Свои; И навлекоа врз себе гнев по гнев! А на неверниците им припаѓа срамно страдање.",""
98,2,91,"91. А кога ќе им се каже: „Верувајте во тоа што Аллах го објавува!“, тие одговараат: „Ние веруваме само во тоа што нам ни е објавено.“, и не сакаат да веруваат во тоа што им се објавува по нив, а тоа е Вистината која потврдува дека е вистинито и тоа што тие го имаат. Кажи: „Па зошто поранешните Аллахови веровесници ги убивавте, ако бевте верници?",""
99,2,92,"92. И Муса ви донесе јасни докази, и покрај сè, во негово отсуство, телето го прифативте чинејќи така неправда.",""
100,2,93,"93. И кога од вас заветот го зедовме и над вас планината Тур ја кренавме: „Цврсто прифатете го тоа што ви го даваме и слушајте!“ – тие одговорија: „Слушаме, но нема да послушаме!“ – бидејќи срцата нивни, заради неверувањето нивно, сè уште беа опиени од телето. Кажи: „Лошо е тоа на што вашето верување ве наведува, ако воопшто сте верници.“",""
101,2,94,"94. Кажи: „Ако кај Аллах е Џенетот обезбеден само за вас, а не и за останатиот свет, тогаш вие смртта посакајте ја, ако вистината ја зборувате.“",""
102,2,95,"95. А никогаш нема да ја посакаат, заради тоа што го прават, а Аллах добро ги познава насилниците.",""
103,2,96,"96. И сигурно ќе видиш дека повеќе копнеат за животот од останатите луѓе, па дури и од идолопоклониците; секој од нив би сакал да живее илјада години, а и да живее толку, тоа од казната не би го оддалечило! Аллах добро го гледа тоа што тие го прават!",""
104,2,97,"97. Кажи: „Кој му е непријател на Џибрил?“, а тој, со Аллахова волја, тебе Куранот на срцето ти го става, потврдувајќи ја вистинитоста на тоа претходно, како патоказ и радосна вест за верниците.",""
105,2,98,"98. Кој Му е непријател на Аллах и на мелеците Негови и на Пратениците Негови и на Џибрил и на Микаил[27] – па, Аллах навистина им е непријател на тие што не веруваат.","[27] Микаил (ар.) – Архангелот Михаил. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот."
106,2,99,"99. А Ние тебе јасни докази ти објавуваме, во кои единствено тешките грешници не сакаат да веруваат.",""
107,2,100,"100. Зарем секој пат кога некоја обврска ќе преземат, некоја група од нив ја отфрла, бидејќи повеќето не веруваат.",""
108,2,101,"101. А кога од Аллах им дојде Пратеник[28], потврдувајќи дека е вистинито тоа што веќе го имаат, дел од тие на кои Книгата им е дадена Аллаховата Книга зад грб ја отфрлија, како да не знаат.","[28] Пратеник или Ресул (ар.) или Пејгамбер (перс.) е еквивалент за Библискиот тер­мин пророк, кој го означува повиканиот Божји гласник, а не оној кој ги пророкува идните работи. Бидејќи станува збор за Куранот, ја задржавме куранската терми­но­­логија која е најблиска до македонскиот јазик, но за да се направи разлика од во­­обичаеното значење, а да се запази возвишеното значење за човек избран од Бо­га, Пратеник ќе биде означен со голема буква."
