"Translation Info:
#---------------------------
43,2,36,"پس شیطان دوی دواړه له جنته وښویول، نو ویې ایستل دواړه له هغه (عزت او راحت) څخه چې دوی پکې وو او موږ وویل چې (له جنته زمکې ته) ښکته شئ، په داسې حال کې چې ستاسې ځينې به له ځینې نورو سره دښمنان وي او شته تاسې ته په زمکه کې ځای د هستوګنې او اسباب د ګټې (فائدی) اخستلو تر یوه وخته پورې (چې اجل یا قیامت دی).",""
44,2,37,"پس آدم له خپل پروردګاره څو کلمې زده کړې، نو په هغو یې (الله ته) رجوع وکړه (په رحمت سره) بېشکه هغه (الله) ښه توبه قبلوونکی (او) رحیم دی.",""
45,2,38,"(بیا) موږ وویل، چې ټول له جنته کوز شئ، کله چې تاسې ته زما له لوري كوم هدايت ورسېږي، نو څوک چې زما د هدایت پیروي وکړي، نو پر هغوی به هیڅ وېره نه وي او نه به غمجن کېږي.",""
46,2,39,"او هغه کسان چې کافران شول او زموږ آیاتونه یې دروغ وګڼل، هم دغه کسان د اور (دوزخ) څښتنان دی او هم دوی به په هغه (اور د دوزخ) کې همېشه وي.",""
47,2,40,"اې بني اسرائیلو (د یعقوب علیه السلام اولاده)! یاد کړئ زما هغه نعمت چې پر تاسو مې انعام کړی دی او وفا وکړئ زما پر وعدې (په متابعت د نبي کې) نو زه به هم وفا وکړم ستاسو پر وعدو (جنت ته په ننویستلو) او خاص له ما څخه ووېرېږئ.",""
48,2,41,"او پر هغه (کتاب) ایمان راوړئ چې ما نازل کړی دی، تصدیق کوونکی د هغه (کتاب) دی چې تاسې سره دی او تر ټولو وړاندې په دې (قرآن) مه کافر کېږئ او زما آیاتونه په لږه بیه مه پلورئ او خاص له مانه ووېرېږئ!",""
49,2,42,"او حق پر باطل مه پوښئ او حق مه پټوئ په داسې حال کې چې تاسې پوهېږئ (چې دا حق دی).",""
50,2,43,"او لمونځ قائم کړئ او زکات ورکړئ او له رکوع کوونکو (لمونځ کوونکو) سره رکوع وکړئ.",""
51,2,44,"آیا تاسې نورو خلکو ته د نېکۍ امر کوئ او خپل ځانونه هېروئ؟ په داسې حال کې چې تاسې کتاب لولئ، نو آیا تاسي له عقل څخه کار نه اخلئ؟",""
52,2,45,"په صبر او لمانځه سره مرسته وغواړئ او په تحقیق سره لمونځ ډېر دروند دې مګر (نه دی دروند) په عاجزي کوونکو.",""
53,2,46,"هغه کسان چې باور لري په دې چې بېشکه هغوی له خپل پروردګار سره مخامخ کېدونکي دي او په تحقیق دوی هم هغه (الله) ته (په آخرت کې) ورستنېدوکي دي.",""
54,2,47,"ای بني اسرائیلو (د یعقوب علیه السلام اولاده)! زما هغه نعمت یاد کړئ چې ما پر تاسې پېرزو کړی دی او دا چې د نړۍ پر ټولو امتونو مې تاسې ته فضيلت دركړى وْ.",""
55,2,48,"او د هغې ورځې (له عذاب) څخه ووېرېږئ چې هیڅ نفس به له بل (کافر) نفس څخه هیڅ شی نه شي لرې کولی او نه به دهغه نفس په اړه شفاعت (سپارښتنه) منل کېږي او نه به له هغه څخه فدیه قبلېږي او نه به له هغوی (کافرو او ګناه کوونکو سره) له كوم لوري مرسته وكړاى شي.",""
56,2,49,"او (یاد کړئ) هغه وخت چې موږ تاسي وژغورلۍ له فرعونیانو څخه چې تاسي ته به یې سخت عذاب درکولو، ستاسي زامن به یې حلالول او ستاسي ښځې (لوڼې) به یې (دخدمت لپاره) ژوندۍ پرېښودلې او په دې کې ستاسې د رب له لوري پر تاسي لوی ازمیښت ؤ.",""
57,2,50,"او (یاد کړئ!) هغه وخت چې موږ ستاسي لپاره سمندر څیرې کړ او تاسو مو وژغورلئ او فرعونیان مو غرق کړل، په داسې حال کې چې تاسي ورته کتل.",""
58,2,51,"او هغه وخت چې وعده کړې وه موږ له موسی علیه السلام سره څلويښت شپې، بیا تاسي خوسی ونیوه (معبود) پس له (تللو) د موسی علیه السلام (طور ته) او تاسې ظالمان وئ.",""
59,2,52,"بیا موږ تاسي ته بخښنه وکړه وروسته له هغې (د خوسي له عبادت څخه) تر څو تاسي (د الله) شکر وباسئ.",""
60,2,53,"او (یاد کړئ!) هغه وخت چې ورکړی ؤ موږ موسی علیه السلام ته کتاب (تورات) او بېلونکی (د حق او باطل) د دې لپاره چې تاسي سمه لار ومومئ.",""
61,2,54,"او هغه وخت (در یاد کړئ) چې موسی خپل قوم ته وویل، ای زما قومه! بېشکه تاسي پر خپلو ځانونو ظلم کړی دی، په سبب د نیولو د خوسي لره (په خدايۍ سره) پس توبه وباسئ خپل خالق ته او خپل ځانونه ووژنئ، همدا کار (ځان وژنه) ستاسو د خالق پر وړاندې تاسو لپاره غوره دی، پس (الله) ستاسي توبه قبوله کړه، بېشکه هغه ښه توبه قبلوونکی او ډېر مهربان دی.",""
62,2,55,"او (یاد کړئ) هغه وخت چې تاسي وویل، ای موسی علیه السلام! مونږ به ستا پر خبره هېڅکله باور ونه کړو (تر څو) چې څرګنده الله ونه وینو، پس تاسي تندر ونیولئ په داسې حال کې چې تاسي (ورته) کتل.",""
63,2,56,"پس بيا موږ ستاسي له مړينې وروسته راپاڅولئ، د دې لپاره چې تاسي شکر وباسئ.",""
64,2,57,"او (هغه مهال) موږ وریځ پر تاسي سیوری کړه او تاسي ته مو ترنجبین او مړزان نازل کړي وو، وخورئ له هغو پاکو شیانو چې موږ تاسو ته روزي کړي دي نو هغوی پر موږ ظلم نه ؤ کړی، بلکې پر خپلو نفسونو (ځانونو) یې ظلم کولو.",""
65,2,58,"او (یاد کړئ) هغه وخت چې موږ (بني اسرائیلو ته) وویل، چې دې کلي ته ننوځئ، پس هرڅه مو چې زړه غواړي هغه پرېمانه وخورئ او سجده کوونکي په دروازه (د دې ښار) ننوځئ او ووایئ: حطة (اې ربه! موږ ته بخښنه وکړه) چې ستاسې ګناهونه وبخښو او پر نېکانو به زیات (اجر) پېرزو کړو.",""
66,2,59,"پس هغو کسانو چې ظلم يې کړی ‌و خبره په بل شان بدله کړه له هغې خبرې څخه کومه چې دوی ته شوې وه، نو نازل کړ موږ پر هغو کسانو چې ظلم يې کړی و عذاب له (طرفه) د اسمانه په سبب د دې چې دوی به (د الله له فرمانه) سرغړونه کوله.",""
67,2,60,"او (یاد کړئ) هغه وخت چې موسی -علیه السلام- خپل قوم لپاره د اوبو غوښتنه وکړه (په میدان د تیه کې) پس موږ وویل (موسی -علیه السلام- ته) چې په خپلې همسا تېږه (ګټه) ووهه، (نو چې ويې وهله) پس روانی شوی له هغې تېږې (ګټی) څخه دولس چېنې، په تحقیق سره هر قوم د خپلو اوبو څښلو ځای وپېژنده (وویل موږ) خورئ او څښئ د الله له روزۍ څخه او مه تېرېږئ له حده په زمکه کې حال دا چې ورانی کوونکی اوسئ تاسي.",""
68,2,61,"او (یاد کړئ) هغه وخت چې وویل تاسي ای موسی علیه السلام! موږ پر یو طعام صبر نه شو کولای، له خپل رب نه دې وغواړه چې موږ ته د زمکې هغه حاصلات راوباسي (لکه)، تره، بادرنګ، غنم، دال او پياز، نو وویل (موسی علیه السلام) آیا بدلوئ تاسي هغه شی چې ناکاره دي په هغه څه چې ډیر غوره دی. (نو اوس) کوز شئ یوه ښار ته پس بېشکه ستاسي لپاره هغه څه دي چې غوښتنه يې کوئ او مقرر کړی شو پر دوی ذلت او محتاجي او اخته شول دوی په غضب د الله، دا په سبب د دې چې دوی د الله په آیاتونو کفر کولو او په ناحقه به یې پیغمبران وژل، دا (کفر او قتل) په دې سبب ؤ چې سرکشي يې کوله او وو دوی چې له حدودو به تېرېدل.",""
69,2,62,"بې له شکه هغه کسان چې ایمان يې راوړی دی او هغه کسان چې یهودان شوي دي او نصرانیان او بی دینان دي، هر څوک چې (د دوی له ډلې) پر الله او د قیامت پر ورځ ایمان راوړي او (له محمدي شریعت سر سم) نیک عمل و کړي، نو د دوی لپاره به د دوی د رب (پالونکي) په نزد اجر (ثواب) وي، او نه به وي (هیڅ قسم) ویره پر دوی باندې او نه به دوی خپه کېږي.",""
70,2,63,"او (یاد کړئ) هغه وخت چې موږ له تاسي څخه ټینګه وعده واخیسته او پورته کړ موږ په سر تاسې د طور (غر)، واخلئ هغه څه (احکام) چې درکړي دي موږ تاسي ته په ښه کوښښ سره او یاد کړئ هغه (احکام) چې په هغه کې دي، ښایي چې تاسې ځانونه وساتئ.",""
71,2,64,"له هغه وروسته تاسي واوښتئ، نو که چېرې د الله فضل او د هغه رحمت پر تاسو نه وی نو هرومرو (خامخا) به تاسو له زیانکارانو څخه وای.",""
72,2,65,"او په تحقیق سره تاسي هغه کسان ښه پېژندلي وو چې تجاوز يې کړی ؤ ستاسي له ډلې څخه (د کبانو په ښکار) د شنبې (په ورځ) نو موږ دوی ته وویل چې ذلیله بیزوګان شئ.",""
73,2,66,"نو وګرځاوه مونږ دا (عقوبت او مسخه کول) عبرت لپاره د هغو خلکو چې حاضر وو او د هغو لپاره چې وروسته راځي او پند دی پرهیزګارانو لره.",""
74,2,67,"او (یاد کړه ای محمده!) هغه وخت چې موسی علیه السلام خپل قوم ته وویل: بیشکه الله امر کوي تاسي ته چې یوه غوا حلاله کړئ (بني اسرائیلو) وویل: آیا ته په موږ ملنډې وهې؟ (موسی علیه السلام) وویل: زه له دېنه الله ته پناه وروړم چې له ناپوهانو څخه شم.",""
75,2,68,"وویل (بني اسرايېلو) چې وغواړه مونږ لپاره له خپل پروردګاره چې بیان کړي موږ ته چې هغه غوا څنګه ده؟ (موسی علیه السلام) وویل: بېشکه الله جل جلاله وایي هغه یوه غوا ده چې نه ډیره زړه ده او نه ډیره ځوانه، میانه حاله ده په منځ د دغو کې پس هغه څه وکړئ چې امر درته شوی دی.",""
76,2,69,"(بني اسرائیلو) وویل: وغواړه (ای موسی علیه السلام) موږ لپاره له خپل پروردګاره چې بیان کړی موږ ته چې رنګ یې څه شان دی؟ (موسی علیه السلام) وویل: بېشکه الله وایې: هغه یوه زېړه غوا ده چې رنګ یې ډېر روښانه دی او لیدونکي خوشحالوي.",""
77,2,70,"(بني اسرائیلو) وویل: له خپل پروردګاره وغواړه چې بیان کړي موږ ته چې څه قسم ده دغه غوا؟ بېشکه غوا موږ په شک کې اچولي یو، او که د الله خوښه وه موږ خامخا لارموندونكي يو.",""
78,2,71,"(موسی علیه السلام) وویل: الله جل جلاله وايي: دا يوه غواده، نه خواري كښه چې زمكه يوې كوي او نه كښت خړوبوي، سالمه پاتې شوې، هيڅ عيب پكې نشته، هغوى ويل: اوس دې سمه (حق) خبره راوړه نو حلاله يې كړه خو نږدې وو چې ويې نه كړي.",""
79,2,72,"(او یاد کړئ) هغه وخت چې تاسي یو کس وژلی ؤ، نو د هغه (مقتول) په اړه په جګړه شوئ او الله ښکاره کوونکی دی د هغه څه (قتل) چې تاسو پټولو.",""
80,2,73,"نو موږ وویل چې پر وژل شوي د هغې (غوا) یوه ټوټه ووهئ (بیا هغه مړی ژوندی شو)، هم داسې الله تعالی (په قیامت کې) مړي ژوندي کوي او تاسې ته (د خپل قدرت) آیتونه (نښانې) درښیي ترڅو تاسو غور وکړئ.",""
81,2,74,"بیا پس له دې ستاسو زړونه سخت شول، نو دغه (زړونه) په شان د تیږې (ګټی) دي بلکې ډیر زیات دي په سختوالي کې. او بېشکه چې له ځینو تیږو (ګټو) هغه دي چې بهیږي له هغو څخه ویالې او په تحقیق سره ځینې له دې تیږو (ګټو) څخه هغه دي چې چوي نو راوځي له هغو څخه اوبه او بیشکه ځینې له دې تیږو (ګټو) څخه هغه دی چې د الله له وېرې رارغړي او الله له هغه څه چې تاسو یې کوئ نا خبره نه دی.",""
82,2,75,"آیا نو تمه کوئ تاسې (ای مسلمانانو) چې ایمان به راوړي دوی (په وینا ستاسې) او بیشکه وه یوه ډله (د پخوانیو) له دوی چې اوریده به يې کلام د الله بیا به يې اړوله هغه خبره وروسته له دې چې پوه به شول په داسې حال کې چې دوی به پوهېدل.",""
83,2,76,"او کله چې دوی ملاقات وکړي له هغو کسانو سره چې مؤمنان دي نو وايې موږ ایمان راوړی دی او کله چې له یو بل سره یوازې شي، نو وایې، آیا خبروئ تاسې دوی په هغه شي چې پرانستلي دي الله په تاسې (په تورات کې) د دې لپاره چې جګړه وکړي له تاسې سره مؤمنان په هغه سره په نزد د پروردګار ستاسې آیا نو نه پوهیږي؟",""
84,2,77,"آیا نه پوهیږي دوی چې بیشکه الله عالم دی په هغه څه چې پټوي يې دوی او په هغه څه چې ښکاره کوي يې.",""
85,2,78,"او ځینې له هغوی څخه امیان (ناپوهه) دي چې په کتاب (تورات) باندې نه پوهېږي، مګر دا چې بې بنسټه هیلې (امیدونه) لري او نه دي دوی مګر ګومانونه کوي.",""
86,2,79,"نو عذاب (هلاک او خرابي) دی لپاره د هغو خلکو چې لیکي کتاب په خپلو لاسونو بیا وايې چې دا د الله له لوري دی، دې لپاره چې په دغه (کتاب) لږ قیمت ترلاسه کړي، نو هلاکت (عذاب) دی دوی لره د هغه شی چې لیکلی دی لاسونو د دوی او بیا هلاکت دی دوی لره د هغه کار چې دوی یې کوي.",""
87,2,80,"او وایې دوی چې موږ ته به کله هم (د جهنم) اور ونه رسېږي، مګر څو شمېرل شوې ورځې، ته ورته ووایه (ای محمده) آیا تاسې له الله -تعالی- څخه عهد (ژمنه) اخیستې؟ نو الله د خپل عهد مخالفت نه کوي، یا په الله پورې داسې خبرې تړئ چې تاسې پرې نه پوهېږئ.",""
88,2,81,"بلکې ولې نه، (رسېږي تاسې ته دائمي اور) هر چا چې بدي وکړه او چاپيره شوه پر ده ګناه د ده. نو هم دغه کسان څښتنان د اور (د دوزخ) دي، دوی به په هغه اور (د دوزخ) کې تل وي.",""
89,2,82,"او هغه کسان چې مؤمنان دي او نېک عملونه یې کړي دي، هم دغه کسان دجنت څښتنان دي، دوی به په هغه جنت کې تل وي.",""
90,2,83,"او (یاد کړه ای محمده!) هغه وخت چې موږ کلکه وعده له بني اسرائیلو څخه واخیستله، دا چې له الله پرته د بل چا عبادت به نه کوئ او له مور او پلار سره به نېکي کوئ، او له خپلوانو سره به هم او له یتیمانو او مسکینانو سره به هم (نیکي کوئ) او خلقو ته ښایسته خبرې وکړئ او لمونځ سم قائموئ او ورکوئ زکات، بیا تاسې (له دې وعدې) وګرځیدئ مګر لږ له تاسې څخه (ونه ګرځیدل)، حال دا چې همدا تاسي (له الهي احکامو څخه) مخ ګرځوونکي یاست.",""
91,2,84,"او (یاد کړئ ای بني اسرايېلو) هغه وخت چې ستاسو له پلرونو مو کلکه وعده واخیستله دا چې خپلې وینې مه تویوئ او مه وباسئ ځانونه خپل له خپلو کورنو، بیا تاسې اقرار وکړ، حال دا چې تاسې حاضر واست.",""
92,2,85,"پس (له دې وعدې) تاسې هغه کسان یاست چې خپل ځانونه وژنئ او وباسئ تاسې یوه ډله خپله له خپلو کورونو له دوی څخه، مرسته (مدد) کوئ پر دوی په ګناه او ظلم سره، او که راشي دوی تاسې ته بندیان نو فدیه ورکوئ تاسې د دوی په ځای، حال دا چې حرام کړی شوي دي پر تاسې ایستل د هغو آیا پس ایمان راوړئ تاسې پر ځینو (احکامو) د کتاب (چې فدیه ده) او کافران کیږئ په ځینو نورو (احکامو د کتاب چې بی ګناه وژنه ده او په ګناه سره مرسته (مدد) کوئ د دوی او مغلوبان له وطنه شړئ). پس نه ده سزا د هغه چا چې کوي دا (کارونه) له تاسې څخه مګر رسوايي ده په ژوند د دنیا کې او په ورځ د قیامت کې ګرځول کیږي دوی ډیر سخت عذاب د (دوزخ) ته او نه دی الله غافل له هغه څه چې کوئ يې تاسې.",""
93,2,86,"دا هغه کسان دي چې د دنیا ژوند یې په بدل د آخرت کې اخیستئ دی، سپک به نه کړی شي له دوی څخه عذاب او نه به له دوی سره مرسته (مدد) وکړل شي.",""
94,2,87,"یقینًا یقینًا موږ موسٰی علیه السلام ته كتاب وركړى و او له هغه نه وروسته مو پرلپسې رسولان لېږلي وو، او موږ د مریمې زوى عیسٰی علیه السلام ته څرګندې نښې وركړې وې۔ او موږ هغه په پاك روح سره قوي كړى و، آیا نو كله چې به هم كوم رسول تاسو ته هغه (احكام) راوړل چې ستاسو نفسونو به نه خوښَوَل، تاسو به ډېره لويي وكړه؛ نو یوه ډله (د پېغمبرانو) مو دروغژنه وګڼله او بله ډله به مو ووژله.",""
