"Translation Info:
#---------------------------
7,1,7,"7. Keliu tų, kuriems Tu suteikei Savo Malonę [3], bet ne tų, kurie užsitraukė Tavo Pyktį (kaip judėjai), ir ne tų, kurie nuklydo (kaip krikščionys).","[3] t. y. per Pranašus, Sidikūn (tuos Pranašo pasekėjus, kurie patys pirmieji juo patikėjo, tokie kaip Abu Bakr As-Sidik), kankinius ir teisinguosius, kaip Allahas sakė: „Ir kas paklūsta Allahui ir Pasiuntiniui (Muchammedui ﷺ ), tada jie bus kartu su tais, kuriems Allahas suteikė Savo Malonę – iš Pranašų, Sidikūn, kankinių ir teisingųjų (tarpo). Ir kokie puikūs šie kompanjonai!” (Koranas, 4:69)."
8,2,1,"1. Alif, Lam, Mym. (Šios raidės – vienas iš Korano stebuklų ir niekas kitas, tik Allahas (Vienintelis) žino jų reikšmę.)",""
9,2,2,"2. Ši Knyga (Koranas), dėl kurios nėra abejonės, – teisingas vedimas (tiems, kurie yra) Al-Mutakūn (dievobaimingi tikintieji islamiškuoju monoteizmu, visuomet bijantys Allaho (susilaikantys nuo skirtingų rūšių nuodėmių ir blogų veiksmų, kuriuos Jis uždraudė) ir labai mylintys Allahą (darantys visų rūšių gerus darbus, kuriuos Jis nurodė daryti)),",""
10,2,3,"3. kurie tiki į Ghaib [1] ir atlieka As-Salat (Ikamat-as-Salat), [2] ir leidžia iš to, ką Mes jiems suteikėme [t. y. duoda Zakat [3], leidžia savo, savo tėvų, vaikų, žmonų ir t. t. naudai, ir taip pat duoda labdarą neturtingiesiems ir taip pat dėl Allaho atlieka Džihadą [4] ir pan.].","[1] Al-Ghaib: tiesiogiai tai reiškia „nematomas daiktas“, tačiau šis žodis turi daug prasmių – tai tikėjimas Allahą, angelus, Knygas, Allaho pasiuntinius, Prikėlimo dieną ir Al-Kadar (Dieviškąjį Nulėmimą). Jo reikšmė taip pat apima tai, ką Allahas ir Jo Pasiuntinys ﷺ pranešė apie praeities, dabarties ir ateities dalykus, t. y. žinios apie dangų ir žemės sukūrimą, augmenijos ir gyvūnijos gyvenimą, žinios apie buvusias tautas bei apie Rojų ir Pragarą.
[2] Ikamat-as-Salat: salat (maldų) atlikimas.
[3] Zakat: nuo tam tikros nustatytos turto dalies, o taip pat ir nuo kiekvienos nuosavybės rūšies musulmonas turi kasmet mokėti zakat musulmonų bendruomenės neturtingųjų naudai. Zakat mokėjimas yra privalomas, nes tai vienas iš penkių islamo ramsčių. Zakat yra svarbi ekonominė priemonė, kuri užtikrina socialinį teisingumą ir suteikia musulmonų bendruomenei klestėjimą bei saugumą. (Žr. Sahih Al-Bukhari, t. 2, „Zakat knyga“, hadisas Nr. 24).
[4] Džihadas: reiškia stengimąsi arba pastangas. Pirmiausia, tai yra kiekvieno musulmono asmeninės pastangos kovojant su savo vidiniu aš, stengimasis skatinant tai, kas yra gera ir draudžiant tai, kas yra bloga. Antra, tai gali reikšti fizines pastangas."
11,2,4,"4. Ir kurie tiki tuo (Koranu ir Sunna), kas buvo apreikšta tau (Muchammedai ﷺ ) ir tuo, kas buvo apreikšta iki tavęs [Tauratas (Tora) ir Indžylis (Evangelija) ir t. t.], ir užtikrintai tiki Pomirtiniu Gyvenimu (t. y. prikėlimu, atpildu už gerus ir blogus darbus, Rojumi ir Pragaru).",""
12,2,5,"5. Jie – savo Viešpaties teisingame vedime ir jie – sėkmingieji.",""
13,2,6,"6. Iš tiesų, tie, kurie netiki, jiems tas pats, ar tu (Muchammedai ﷺ ) įspėji juos ar neįspėji jų, - jie netikės.",""
14,2,7,"7. Allahas užantspaudavo jų širdis ir klausą (t. y. jie negali priimti Allaho Vedimo) ir ant jų žvilgsnių – uždangalas. Jiems bus didžiulė kančia.",""
15,2,8,"8. Ir tarp žmonių yra tokių (veidmainių), kurie sako: „Mes tikime Allahą ir Paskutiniąją Dieną“, bet iš tiesų jie netiki.",""
16,2,9,"9. Jie (mano) apgausiantys Allahą ir tuos, kurie tiki. Bet jie apgaudinėja tik patys save, ir (to) nesuvokia!",""
17,2,10,"10. Jų širdyse – (abejonės ir veidmainiškumo) liga, ir padidino Allahas jų ligą. Jiems – skausminga kančia, už jų melagystes.",""
18,2,11,"11. Kai jiems sakoma: „Nedarykite žemėje piktadarybių!”, jie sako: „Mes – tik taikdariai.“",""
19,2,12,"12. Iš tiesų! Jie – tie, kurie daro piktadarybes, bet jie nesuvokia.",""
20,2,13,"13. O kai jiems (veidmainiams) sakoma: „Tikėkite kaip žmonės (Muchammedo ﷺ pasekėjai – Al-Ansar ir Al-Muhadžirūn) patikėjo!”, jie sako: „Argi mes patikėsime kaip kvailiai patikėjo?“ Iš tiesų, kvailiai – jie, bet to nežino.",""
21,2,14,"14. O kai jie sutinka tuos, kurie tiki, sako: „Mes tikime."" Bet kai jie vieni su savo Šajatin (šėtonais – daugiadieviais, veidmainiais), sako: „Iš tikrųjų mes esame su jumis. Iš tiesų mes tik juokavome.“",""
22,2,15,"15. Allahas išsijuokia iš jų, ir palieka juos aklai klaidžioti nuodėmėje.",""
23,2,16,"16. Tai yra tie, kurie nusipirko klaidą už teisingą vedimą, todėl nepelninga buvo jų prekyba. Ir jie nebuvo teisingai vedami.",""
24,2,17,"17. Jų pavyzdys yra kaip to, kuris užkūrė ugnį. Tada, kai ji apšvietė viską aplink jį, Allahas paėmė jų šviesą ir paliko juos tamsoje. (Taigi), jie negalėjo matyti.",""
25,2,18,"18. Jie yra kurti, nebylūs ir akli. Todėl jie negrįžta (į Teisingą Kelią).",""
26,2,19,"19. Arba kaip liūtis iš dangaus. Joje sutema, griaustinis ir žaibas. Jie spraudžia pirštus į ausis, tildydami perkūnijos trenksmą, bijodami mirties. Bet Allahas apima netikinčiuosius (t. y. Allahas surinks juos visus kartu).",""
27,2,20,"20. Žaibas beveik atima jų regėjimą. Kai tik jis tvyksteli jiems, jie jame eina, o kai juos apgaubia tamsa, jie stovi nejudantys. Ir jei Allahas panorėtų, Jis galėtų atimti jų klausą ir jų regėjimą. Iš tiesų, Allahas yra Visa Galintis.",""
28,2,21,"21. Žmonės! Garbinkite savo Viešpatį (Allahą), Kuris sukūrė jus ir tuos, kurie buvo prieš jus, kad jūs taptumėte Al-Mutakūn (dievobaimingi – žr. ają 2:2).",""
29,2,22,"22. Kuris padarė žemę jums poilsio vieta ir dangų – skliautu, ir nuleido lietų iš dangaus ir suteikė juo vaisius, aprūpindamas jus. Taigi nepriskirkite lygių Allahui (garbinime), žinodami (kad Jis Vienintelis turi tam teisę).",""
30,2,23,"23. O jei jūs (arabų pagonys, judėjai ir krikčionys) abejojate dėl to, ką Mes atskleidėme (t. y. Koranu) Savo vergui (Muchammedui ﷺ ), tai sukurkite panašią sūrą (Korano skyrių) ir kvieskite savo liudytojus (rėmėjus ir padėjėjus) be Allaho, jei esate teisūs.",""
31,2,24,"24. Bet jei jūs to nepadarysite, o jūs niekada nesugebėsite to padaryti, tada bijokite Ugnies, kurios pakuros yra žmonės ir akmenys, paruošti netikintiesiems.",""
32,2,25,"25. Ir praneškite gerą žinią tiems, kurie tiki ir daro gerus darbus, - jiems bus Sodai, po kuriais teka upės (Rojus). Kaskart, kai jiems bus duotas vaisius iš ten, jie sakys: „Tai mums buvo duota prieš tai.“ Jiems bus duoti panašūs dalykai (t. y. tokios pačios formos kaip žemėje, bet kitokio skonio), ir jie turės ten Azvadžun Mutahara [5] (tyrus partnerius arba žmonas) ir jie gyvens ten amžinai.","[5] neturinčios menstruacijų, išmatų, šlapimo."
33,2,26,"26. Iš tiesų, Allahas nesigėdija pateikti palyginimą, net apie uodą ar tą, kas pranoksta jį. Tie, kurie tiki, žino, kad tai – jų Tiesa iš jų Viešpaties, o tie, kurie netiki, sako: „Ką Allahas norėjo pasakyti šiuo palyginimu?“ Taip Jis paklaidina daugelį ir daugelį tokiu būdu Jis veda tiesiu keliu. Ir Jis paklaidina taip tik tuos, kurie yra Al-Fasikūn (maištaujantys, nepaklūstantys Allahui).",""
34,2,27,"27. Tie, kurie pažeidžia Allaho Sutartį po jos patvirtinimo, ir nutraukia tai, ką Allahas nurodė sujungti (turint galvoje Allaho tikėjimą – islamiškąjį monoteizmą, ir jo taisyklių taikymą žemėje, ir taip pat turint galvoje gerų santykių su pažįstamais ir giminėmis palaikymą), ir daro žemėje piktadarybes, jie – pralaimėtojai.",""
35,2,28,"28. Kaip galite netikėti į Allahą, matant, kad buvote negyvi ir Jis suteikė jums gyvybę. Tada Jis suteiks jums mirtį, tada vėl prikels gyvenimui (Prikėlimo Dieną) ir tada pas Jį sugrįšite. (žr. ają 40:11)",""
36,2,29,"29. Jis yra Tas, Kuris sukūrė jums visiems tai, kas yra žemėje. Tada Jis pakilo (istava) link dangaus ir padarė juos septyniais dangumis. Jis - apie viską Žinantis.",""
37,2,30,"30. Ir (atminkite), kaip jūsų Viešpats sakė angelams: „Iš tiesų, aš apgyvendinsiu (žmonijos) kartas po kartų žemėje.“ Jie tarė: „Ar Tu apgyvendinsi ten tuos, kurie darys piktadarybes ir lies kraują, kai mes garbiname Tave šlovindami ir dėkodami ir šventiname Tave.“ Jis (Allahas) tarė: „Aš žinau tai, ko jūs nežinote.“",""
38,2,31,"31. Ir Jis išmokė Adamą (Adomą) visų dalykų vardus, tada Jis parodė juos angelams ir tarė: „Pasakykite Man jų vardus, jei jūs sakot teisybę.“",""
39,2,32,"32. Jie (angelai) tarė: „Šlovė Tau, mes neturime žinių išskyrus tai, ko Tu mus išmokei. Iš tiesų, Tu – Visa Žinantis, Visa Išmanantis.“",""
40,2,33,"33. Jis tarė: „Adamai (Adomai), pranešk jiems jų vardus!”. Ir kai jis pranešė jiems jų vardus, Jis tarė: „Argi Aš nesakiau jums, kad Aš žinau Ghaib (Nematomą) danguose ir žemėje ir Aš žinau, ką jūs atskleidžiate ir tai, ką jūs slepiate?“",""
41,2,34,"34. Ir (atminkite), kai Mes tarėme angelams: „Pulkite kniūbsčiomis priešais Adamą (Adomą).“ Ir jie puolė kniūbsčiomis, išskyrus Iblisą (Šėtoną). Jis atsisakė ir parodė išdidumą, ir buvo vienas netikinčiųjų (nepaklusęs Allahui).",""
42,2,35,"35. Ir Mes tarėme: „Adamai (Adomai), gyvenk tu ir tavo žmona Rojuje ir maitinkitės abu laisvai, mėgaudamiesi ir gėrėdamiesi, tuo, kas ten yra, ir kur tik panorėsite, bet nesiartinkite prie šio medžio, nes jūs abu tapsite Zalimūn (nusidėjėliais).“",""
43,2,36,"36. Tada Šaitan (Šėtonas) privertė juos paslysti iš ten (Rojaus) ir išleisdamas juos iš buvimo vietos. Mes tarėme: „Nusileiskite jūs, visi, priešiški vieni kitiems. Žemėje bus buveinė jums ir laikinas malonumas.“",""
44,2,37,"37. Tada Adamas (Adomas) gavo iš savo Viešpaties Žodžius [6]. Ir jo Viešpats atleido jam (priėmė jo atgailą). Iš tiesų, Jis – Tas, Kuris atleidžia (priima atgailą), Gailestingiausiasis.","[6] Šie žodžiai paminėti Korane, ajoje 7:23: „Mūsų Viešpatie, mes nuskriaudėme save! Jei Tu mums neatleisi ir nesuteiksi mums Savo Gailestingumo, mes be abejonės būsime pralaimėtojais.“"
45,2,38,"38. Mes tarėme: „Nusileiskite visi jūs iš šios vietos (Rojaus). Ir kada bepasiektų jus Mano Vedimas, ir kas bepasektų Mano Vedimu, nebus jiems baimės ir jie nesielvartaus.",""
46,2,39,"39. Bet tie, kurie netiki ir neiga Mūsų Ajat (įrodymus, įkalčius, eilutes, pamokas, ženklus, apreiškimus ir t. t.), – jie yra Ugnies gyventojai. Jie gyvens ten amžinai.",""
47,2,40,"40. Israelio (Izraelio) vaikai, prisiminkite Mano Malonę, kurią suteikiau jums ir vykdykite (savo įsipareigojimus) Mano Susitarimą (su jumis) tam, kad Aš vykdyčiau (Savo įsipareigojimus) jūsų susitarimą (su Manimi), ir nebijokite nieko, tik Manęs.",""
48,2,41,"41. Ir tikėkite tuo, ką Aš atskleidžiau (t. y. šiuo Koranu), patvirtinančiu tai, kas yra su jumis [Tauratą (Torą) ir Indžylį (Evangeliją)], ir nebūkite pirmieji tai neigę, ir neiškeiskite Mano ajatų [Tauratą (Torą) ir Indžylį (Evangeliją)] už mažą kainą (gaudami mažą vertę, pardavus Mano ajatus), ir bijokitės Manęs, tik Manęs Vienintelio.",""
49,2,42,"42. Ir nemaišykite tiesos su neteisybe, ir neslėpkite tiesos [ t. y. Muchammedas ﷺ yra Allaho Pasiuntinys ir jo savybės yra įrašytos jūsų Raštuose, Taurate (Toroje) ir Indžylyje (Evangelijoje)], žinodami (tiesą).",""
50,2,43,"43. Ir atlikite As-Salat (Ikamat-as-Salat), ir duokite Zakat, ir lenkitės (arba nuolankiai pakluskite Allahui) kartu su Ar-Rakiun [7].","[7] Ar-Rakiun: tie, kurie lenkiasi ir nuolankiai paklūsta Allahui ir Muchammedui ﷺ kaip tai darė musulmonai, t. y. priima islamą (negarbina nieko kito, tik Allahą Vienintelį, ir daro gerą vien tik siekdami Allaho Patenkinimo)."
51,2,44,"44. Ar jūs reikalaujate Al-Bir (dievobaimingumo ir teisingumo visame kame, paklūstant Allahui) iš žmonių ir pamirštate (praktikuoti tai) patys? Ir jūs recituojate Knygą [Tauratą (Torą)]! Argi jūs nesuvokiate?",""
52,2,45,"45. Ir ieškokite pagalbos kantrybėje ir As-Salat (maldoje). Iš tiesų tai ypatingai sunku, išskyrus Al-Khašiūn [t. y. tikriesiems tikintiesiems Allahą – tiems, kurie paklūsta Allahui visiškai atsiduodami, visuomet bijodami Jo Bausmės ir tiki Jo Pažadu (Rojumi) ir Jo Perspėjimu (Pragaru)].",""
53,2,46,"46. (Jie yra tie,) kurie yra užtikrinti, kad jie sutiks savo Viešpatį ir kad pas Jį jie sugrįš.",""
54,2,47,"47. Israelio (Izraelio) vaikai, atminkite Mano Malonę, kurią suteikiau jums, ir skyriau jums pirmenybę prieš Alamyn [(jūsų laikų) žmoniją ir džinus].",""
55,2,48,"48. Ir bijokite (Teismo) Dienos, kai vienas žmogus nebus naudingas kitam, ir jo užtarimo prašymas nebus patenkintas, ir jo kompensacija nebus priimta, ir jiems nebus pagelbėta.",""
56,2,49,"49. Ir (atminkite), kai Mes išgelbėjome jus nuo Firauno (Faraono) žmonių, kurie kėlė jums siaubingas kančias, žudė jūsų sūnus ir pasigailėdavo jūsų moterų, ir tame buvo didžiulis išbandymas, skirtas jūsų Viešpaties.",""
57,2,50,"50. Ir (atminkite), kai Mes perskyrėme jūrą ir išgelbėjome jus ir paskandinome Firauno (Faraono) žmones, o jūs žiūrėjote (į juos, kai jūros vanduo juos uždengė).",""
58,2,51,"51. Ir (atminkite), kai Mes paskyrėme Mūsai (Mozei) keturiasdešimt naktų ir (jam išėjus) jūs pasirinkote veršiuką (garbinimui), ir būdami Zalimūn (daugiadieviais ir nusidėjėliais).",""
59,2,52,"52. Tada po to Mes atleidome jums, kad būtumėte dėkingi.",""
60,2,53,"53. Ir (atminkite), kai Mes davėme Mūsai (Mozei) Knygą [Tauratą (Torą)] ir atskyrimą (gero nuo blogo), kad būtumėte vedami teisingai.",""
61,2,54,"54. Ir (atminkite), kai Mūsa (Mozė) tarė savo žmonėms: „Mano žmonės, iš tiesų, jūs nuskriaudėte save, garbindami veršiuką. Tad kreipkitės atgailaudami į savo Kūrėją ir nužudykite savuosius (nekaltieji nužudykite nusidėjėlius iš savo tarpo), - tai bus geriau jūsų Kūrėjo akivaizdoje.“ Tada Jis priėmė jūsų atgailą. Iš tiesų, Jis – Tas, Kuris priima atgailą, Gailestingiausiasis.",""
62,2,55,"55. Ir (atminkite), kai jūs sakėte: „Mūsa (Moze), mes niekada netikėsime tavimi, kol aiškiai nepamatysime Allaho.“ Bet apėmė jus žaibo blykstelėjimas, jums bežiūrint.",""
63,2,56,"56. Tada Mes prikėlėme jus po jūsų mirties, kad galėtumėte būti dėkingi.",""
64,2,57,"57. Ir Mes užstojome jums šviesą debesimis ir nuleidome jums Al-Mana ir putpeles, (sakydami): „Valgykite gerus, leistinus dalykus, kuriuos Mes suteikėme jums.“ (Bet jie maištavo). Ir jie nenuskriaudė Mūsų, bet nuskriaudė save.",""
65,2,58,"58. Ir (atminkite), kai Mes sakėme: „Įženkite į šį miestą (Jeruzalę) ir valgykite gausiai ten su malonumu ir džiaugsmu kur tik panorėsite, ir įeikite pro vartus kniūbsčiomis (arba nuolankiai nusilenkę) ir sakykite: „Atleiskite mums!“ Ir Mes atleisime jums jūsų nuodėmes ir padidinsime (atlygį) gera darantiesiems.“",""
66,2,59,"59. Bet tie, kurie elgėsi neteisingai, pakeitė jiems pasakytą žodį kitu, tad Mes nusiuntėme jiems Ridžz (bausmę) iš dangaus už jų maištavimą prieš paklusnumą Allahui.",""
67,2,60,"60. Ir (atminkite), kai Mūsa (Mozė) paprašė vandens savo žmonėms, Mes tarėme: „Suduok savo lazda į akmenį.“ Tada ištryško iš ten dvylika versmių. Kiekvienas žmogus (jų grupė) žinojo savo vandens vietą. „Valgykite ir gerkite tai, ką Allahas suteikė, ir nesielkite nedorai, darydami piktadarybes žemėje.“",""
68,2,61,"61. Ir (atminkite), kai jūs sakėte: „Mūsa (Moze), mes negalime pakęsti vienos maisto rūšies. Tad melsk savo Viešpaties dėl mūsų mums suteikti tai, ką žemė augina, jos augalus, jos agurkus, jos Fūm (javus arba česnakus), jos lęšius ir jos svogūnus.“ Jis tarė: „Ar jūs iškeistumėte tai, kas yra geriau, į tai, kas yra prasčiau? Leiskitės į bet kurį miestą ir jūs rasite, ko norite!” Ir juos apėmė pažeminimas ir vargas, ir jie užsitraukė ant savęs Allaho Rūstybę. Tai įvyko todėl, kad jie netikėdavo Allaho Ajat (įrodymais, įkalčiais, eilutėmis, pamokomis, ženklais, apreiškimais ir t. t.) ir neteisėtai žudė Pranašus. Taip buvo todėl, nes jie nepakluso ir nusidėdavo (savo nepaklusnumu Allahui, t. y. darydami nusikaltimus ir nuodėmes).",""
69,2,62,"62. Iš tiesų, tie, kurie tiki, ir tie, kurie yra judėjai ir krikščionys, ir sabėjai, [8] kurie tiki Allahą ir Paskutiniąją Dieną ir daro teisingus gerus darbus, turės atlygį pas savo Viešpatį, nebus jiems baimės, anei jie liūdės.","[8] Buvusi tauta, gyvenusi Mūsal (Irake) ir sakiusi ""La ilaha illallah"" (niekas neturi teisės būti garbinamas, tik Allahas), ir skaičiusi Az-Zabur (Sabėjų Pslames)."
70,2,63,"63. Ir (atminkite, Israelio (Izrealio) vaikai), kai Mes priėmėme jūsų pažadą ir iškėlėme virš jūsų Kalną (sakydami): „Tvirtai laikykitės to, ką Mes suteikėme jums (t. y. apreiškimo), ir atminkite tai, kas yra čia, kad taptumėte Al-Mutakūn (dievobaimingieji – žr. ają 2:2).",""
71,2,64,"64. Tada jūs nusigręžėte. Ir jei ne Allaho Malonė ir Gailestingumas jums, iš tiesų, jūs būtumėte buvę tarp pralaimėtojų.",""
72,2,65,"65. Ir tikrai jūs žinojote iš savo tarpo tuos, kurie nusidėjo dėl Šabo (t. y. šeštadienio). Mes tarėme jiems: „Tapkite beždžionėmis, niekinamomis ir atstumtomis.“",""
73,2,66,"66. Taigi Mes padarėme šią bausmę kaip pavyzdį jiems patiems ir ateinančioms kartoms ir kaip pamoką tiems, kurie yra Al-Mutakūn (dievobaimingieji – žr. ają 2:2).",""
74,2,67,"67. Ir (atminkite), kai Mūsa (Mozė) tarė savo žmonėms: „Iš tiesų, Allahas liepia jums paskersti karvę.“ Jie atsakė: „Ar tu juokiesi iš mūsų?“ Jis tarė: „Aš radau Allaho Prieglobstį nuo buvimo tarp Al-Džahilūn (neišmanėlių arba kvailių).“",""
75,2,68,"68. Jie tarė: „Kreipkis į savo Viešpatį dėl mūsų, kad Jis paaiškintų mums, kokia ji yra!” Jis tarė: „Jis sako: „Iš tiesų, tai – karvė, nei per sena, nei per jauna, bet (yra) tarp šių dviejų savybių“, taigi, darykite, kas jums įsakyta.“",""
76,2,69,"69. Jie tarė: „Kreipkis į savo Viešpatį dėl mūsų, kad Jis nurodytų jos spalvą.“ Jis tarė: „Jis sako: „Tai geltona karvė, šviesi savo spalva, patraukli visiems, kas ją matė.“",""
77,2,70,"70. Jie tarė: „Kreipkis į savo Viešpatį dėl mūsų, kad paaiškintų, kokia ji yra. Iš tiesų, mums visos karvės vienodos. Ir tikrai, jei Allahas panorės, mes būsim pamokyti.“",""
78,2,71,"71. Jis [Mūsa (Mozė)] tarė: „Jis sako: „Tai – karvė, nei naudojama arti žemę, nei drėkinti laukus, sveika.“ Jie tarė: „Dabar tu atėjai su tiesa.“ Taigi jie paskerdė ją, nors buvo arti to neįvykdymo.",""
79,2,72,"72. Ir (atminkite), kai jūs nužudėte žmogų ir susiginčijote tarp savęs dėl šio nusikaltimo. Bet Allahas išaiškino tai, ką jūs slėpėte.",""
80,2,73,"73. Taigi Mes sakėme: „Suduokite jam (mirusiam žmogui) šios (karvės) dalimi.“ Taip Allahas grąžina mirusius į gyvenimą ir parodo jums Savo Ajat (įrodymus, įkalčius, eilutes, pamokas, ženklus, apreiškimus ir t. t.), kad jūs suprastumėte.",""
81,2,74,"74. Ir tada jūsų širdys buvo sukietintos ir tapo kaip akmenys arba net kietesnės. Ir iš tiesų, yra akmenų, iš kurių trykšta versmės, ir iš tiesų, yra iš jų (akmenų), kurie skyla pusiau, ir vanduo liejas iš jų, ir iš tiesų, yra iš jų (akmenų), kurie krenta žemyn iš baimės Allahui. Ir Allahas nėra nežinantis apie tai, ką jūs darote.",""
82,2,75,"75. Ar jūs (ištikimi tikintieji) geidžiate, kad jie patikėtų jūsų religija, nepaisant to, kad dalis jų (judėjų rabinai) girdėdavo Allaho Žodį [Tauratą (Torą)], tada jie tyčia pakeisdavo tai, apie tai žinodami?",""
83,2,76,"76. Ir kai jie (judėjai) sutinka tuos, kurie tiki (musulmonus), sako: „Mes tikime“, o kai jie susitinka vienas kitą nuošaliai, sako: „Ar jūs pasakysite jiems (musulmonams) tai, ką Allahas apreiškė jums [apie Pranašo Muchammedo ﷺ savybes, kurios parašytos Taurate (Toroje)], kad jie (musulmonai) galėtų ginčytis su jumis apie tai prieš jūsų Viešpatį?“ Argi jūs (judėjai) nesuvokiate?",""
84,2,77,"77. Argi nežino jie, kad Allahas žino tai, ką jie slepia ir ką atskleidžia?",""
85,2,78,"78. Ir tarp jų (judėjų) yra beraščių žmonių, kurie nežino Knygos. Jie pasikliauja apgaulingais troškimais ir jie tik spėlioja.",""
86,2,79,"79. Tada vargas tiems, kurie rašo Knygą savo pačių rankomis ir tada sako: „Tai – iš Allaho.“, kad gautų už tai mažą kainą! Vargas jiems dėl to, ką jų rankos parašė, ir vargas jiems dėl to, ką jie už tai įgyja.",""
87,2,80,"80. Ir jie (judėjai) sako: „Ugnis (t. y. Pragaro Ugnis Prikėlimo Dieną) nepalies mūsų, išskyrus kelias paskirtas dienas.“ Sakyk (Muchammedai ﷺ jiems): „Argi jūs gavote pažadą iš Allaho – ir Allahas niekada nesulaužo Savo pažado – o gal jūs sakote apie Allahą tai, ko nežinote?“",""
88,2,81,"81. Taip! Kas atlieka blogybes ir jų nuodėmės apsupo jį, jie yra Ugnies (t. y. Pragaro) gyventojai. Jie gyvens ten amžinai.",""
89,2,82,"82. O tie, kurie tiki (Allaho Vienumu – islamiškuoju monoteizmu) ir daro teisingus gerus darbus, - jie yra Rojaus gyventojai. Jie gyvens ten amžinai. (žr. Aja 2:257)",""
90,2,83,"83. Ir (atminkite), kai Mes priėmėme Israelio (Izrealio) vaikų pasižadėjimą, (bylojantį): „Negarbinkite nieko, tik Allahą (Vienintelį), ir būkite paklusnūs bei geri tėvams ir giminėms, ir našlaičiams, ir Al-Masakin [9] (vargingiesiems), ir sakykite gerą žmonėms (t. y. reikalaukite teisingumo ir drauskite blogį, ir sakykite tiesą apie Muchammedą ﷺ ], ir atlikite As-Salat (Ikamat-as-Salat), ir duokite Zakat.“ Tada jūs nusigręžėte, išskyrus kelis iš jūsų, būdami abejingais.","[9] (2:83) Abu Hurairah (lai Allahas būna juo patenkintas) perdavė: Allaho Pasiuntinys ﷺ pasakė: „Al-Miskin (vargingasis) nėra tas, kuris sukinėjasi tarp žmonių ir prašo jų kąsnio. Al-Miskin (vargingasis) yra tas, kuris neturi pakankamai (pinigų), kad patenkintų savo poreikius, ir kurio padėtis nėra žinoma kitiems, kad jie galėtų suteikti jam kokią nors labdarą, ir tas, kuris neprašo žmonių išmaldos. (Žr. Sahyh Al-Bukhari, t. 2, hadisas Nr. 557)."
91,2,84,"84. Ir (atminkite), kai Mes priėmėme jūsų pasižadėjimą, (bylojantį): „Neliekite savo (žmonių) kraujo ir nevarykite savo pačių žmonių iš jų būstų. Tada, jūs (tai) patvirtinote ir (apie tai) jūs liudijate.",""
92,2,85,"85. Ir po to, tai jūs, kurie žudote vienas kitą ir išvarote jūsiškių grupę iš jų namų, padedami (jų priešams) prieš juos nuodėmėje ir nusižengime. Ir jei atitenka jie jums kaip belaisviai, jūs išperkate juos, nors jų išvarymas jums buvo uždraustas. Ar jūs tikite dalimi Rašto, bet atmetate kitą? Tagi koks atlygis tiems iš jūsų, kurie taip elgiasi, jei ne nemalonė šiame gyvenime, o Prikėlimo Dieną jie bus pasiųsti į pačią skausmingiausią kankynę. Ir Allahas nėra nežinantis apie tai, ką jūs darote.",""
93,2,86,"86. Tai yra tie, kurie nusipirko šį gyvenimą už Amžinybės kainą. Jų kančia nebus palengvinta ir jiems nebus pagelbėta.",""
