"Translation Info:
#---------------------------
10,2,3,"Abemera[1] ibinyegejwe ibiremwa[2], bagatsimbataza amasengesho akwije ibisabwa ku mwanya wayo nk’uko bitegetswe, bagatanga ishikanwa-bwirizwa (Zakat) n’izindi mperezwa (Sadaka) mu vyo Imana Allah Yabahaye.","[1] Ukwemera, ni ijambo ryo kwemanga wemera ata makenga ko hariho Imana Imwe Rudende Allah, abamalayika bayo, Ibitabu vyayo, Intumwa zayo, umusi w’imperuka, ivyagezwe n'ishirwa mu ngiro ry'avyo: ineza n’inabi. Ukwemera rero, gutegerezwa gushimangirwa mu mvugo n’ingiro, maze umutima ukemanga, ururimi rukavyatura, ibihimba na vyo bigashira mu ngiro ivyo umutima wemanze.
[2] Ibinyegejwe ibiremwa, ni birya vyose umuntu asabwa kwemera kandi adashoboye kubimenya kiretse mu gihe bihishuwe n’Imana Allah, biciye ku Ntumwa zayo; nko kwemera abamalayika, Ubwami bw’ijuru n’umuriro udahera, n’ibindi."
11,2,4,"N’abemera ivyo wahishuriwe muri Qor’ani ewe Ntumwa y’Imana, bakanemera n’ivyahishuriwe izindi Ntumwa zo hambere yawe, bakemera ata gukekeranya ibizoba mu buzima bw’inyuma yo gupfa.",""
12,2,5,"Abo barangwa n’ivyo, ni bo bari mu nzira y’uburongozi bw’Imana yabo Rurema Allah. Abo ni na bo rero baronse intsinzi kw’isi no mu buzima bw’inyuma yo gupfa.",""
13,2,6,"Mu vy’ukuri, abahakanye bivuye inyuma ivyo wahishuriwe, kubaburira no kutababurira vyose ni co kimwe. Ntibazokwigera bemera.",""
14,2,7,"Ku kubera ubugarariji bwabo, Imana Allah Yarateye ikimangu mu mitima yabo no mu matwi yabo. Ku maso yabo na ho hari ipaziya ntibabona ukuri. Baranategekanirijwe ibihano bihambaye.",""
15,2,8,"Burya mu bantu, harimwo abajuragirika mu kwemera bakavuga bati: “Twaremeye Imana Allah n’umusi w’imperuka”. Ivyo bakabivuga mu majambo gusa, kandi batemera mu mitima yabo.",""
16,2,9,"Bibwira ko bahenda Imana Allah n’abemeramana mu kwiyorobeka kwabo. Burya nta we bahenda kiretse ko ari bo nyene bihenda, ariko ntibavyumva.",""
17,2,10,"Mu mitima yabo harimwo indwara y’uburyarya n’ubuhakanyi, gutyo Imana Allah na Yo Ibongerereza iyindi ndwara y’ishari n’inzigo bafitiye abemeramana. Barategekanirijwe ibihano bibabaza, kubera ivyo bahora babesha.",""
18,2,11,"Iyo babwiwe bati: “Ntimukwiragize ubwononyi kw’isi”. Bishura bati: “Mu vy’ukuri, twebwe turi intungane turabogora”.",""
19,2,12,"Bantu! Nimwumve mwumvireho! Bo ni bo bononyi vy’ukuri, mugabo nta vyo bumva.",""
20,2,13,"Iyo naho babwiwe bati: “Nimwemere nk’uko abandi bantu bemeye”. Bishura bati: “Twebwe twokwemera nk’uko abakehabwenge bemeye!” Bantu! Nimwumve mwumvireho! Bo ni bo bakehabwenge, ariko nta vyo bazi.",""
21,2,14,"Iyo bahuye n’abemeramana bavuga bati: “Twebwe twaremeye nkamwe”. Mugabo iyo bihereranye amashetani yabo (mu bahakanyi ruhebwa), bavuga bati: “Twebwe turatsimbataye mu buhakanyi hamwe na mwe. Mu vy’ukuri, twebwe turatebura gusa mu kubereka ko twemera”.",""
22,2,15,"Imana Allah Izobahembera ugutebura kwabo, Yongere Ibongerereze ubuhuvyi ku buhuvyi bwabo basanganwe, bajuragirike mu kubura ico bafata nico bareka hagati yo kwemera no guhakana.",""
23,2,16,"Abo ni bo rero biguze ubuhuvyi ha kurongoka, maze birengagiza kwemera. Nta co bungutse mu rudandazwa rwabo rwo guhurumbira ivy’isi, ntibari no kuba abagororotsi namba muri ubwo buryo.",""
24,2,17,"Akarorero k’abo bantu b’indyarya, ni nk’umuntu yacanye umuriro ngo umumurikire we n’abagenzi bari kumwe, mu gihe umaze kumuboneshereza ibimukikije, Imana Allah Ica Irawuzimya, Ibasiga mu muzimagiza w’amakenga n’uburyarya batabona inzira y’ukuri.",""
25,2,18,"Ni ibipfamatwi, barabwirwa ntibumva ukuri, ni ba nyamuragi ntibavuga ukuri, ni ibipfamaso barerekwa ntibabona inzira y’ukuri, eka mbere bobo ntibokwigarura ngo bave mu muzimagiza barimwo.",""
26,2,19,"Canke akarorero kabo, ni nk’ak’abantu bari mu mwijima mu mvura nyinshi irimwo imituragaro n’imiravyo, maze bakazibira amatwi yabo n’intoke zabo kugira ngo bikingire inkuba batinya gupfa. Imana Allah na Yo Ikikuje abahakanyi ku buryo ata saganirizo n’ubuhungiro bagira.",""
27,2,20,"Imiravyo ihakwa kubamena amaso. Mu gihe cose nya miravyo ibamurikiye bayigendamwo, iyo naho itabamurikiye ngo babone, baca bahagarara. Iyo Imana Allah Ishaka Yari kubamena amatwi n’amaso. Mu vy’ukuri rero, Imana Allah ni Mushoboravyose.",""
28,2,21,"Emwe Bantu! Nimwiyegereze Imana yanyu Rurema Allah mu vyo mukora vyose munayisenge ari Imwe Rudende, Yo Yabaremye Irema n’abo hambere yanyu kugira ngo muyigamburukire mu kwubahiriza amabwirizwa yayo.",""
29,2,22,"Ni Yo Yabagiriye isi nk’isaso kugira ngo mushobore kuyibako; Ibubakira n’ijuru nk’igisenge, Imanura n’amazi y’imvura avuye mu bicu azananye mu kirere, Iraheza Imeza hakoreshejwe nya mazi ivyamwa bitandukanye kugira ngo bibe imfungurwa zanyu. Kubera ivyo rero, ntimukabangikanye Imana Allah mu gusenga ibigirwamana, kandi na mwe nyene muzi neza ko ari Yo Rurema, Rutunga.",""
30,2,23,"Nimwaba mufise amakenga yuko Twamanuriye Qor’ani Intumwa yacu (Muhamadi nyakugira amahoro n’impuhwe z’Imana Allah), murazana rero igisomwa kimwe gusa gisa canke gisusa na Qor’ani, kandi murarike n’abantu bababere ivyabona hatarimwo Imana Allah, nimwaba muri imvugakuri mw’ihakana ryanyu rya Qor’ani.",""
31,2,24,"Nimutabigira, kandi nta n’ivyo muzoshobora, muraheza rero mwiyubare ibihano vy’umuriro udahera wa Jahannamu, muheze mwemere Umuvugishwamana (nyakugira amahoro n’impuhwe z’Imana Allah) maze mugamburukire Imana Allah. Ivyegenyezo vya nya muriro ni abantu n’amabuye. Wateguriwe abagarariji.",""
32,2,25,"Ntumwa y’Imana! Shikiriza abemeye bakanakora ivyiza bitegetswe, inkuru ihumuriza ko bazohabwa imirima itotahaye yo mu Bwami bw’ijuru, musi y’ibiti n’inyubakwa vyabwo hatemba inzuzi. Igihe cose bafunguriwe mu vyamwa vyayo bavuga bati: “Izi mfungurwa ni nk’izo twafungurirwa hambere kw’isi!”. Bazihawe zisa n’izo kw’isi ariko zidasusa. Bamaze kuzifungura, bazosanga zisangije akanovera. Bazoba rero bahafise n’abakenyezi basukuye batagira akanenge. Bazobamwo ibihe bidahera.",""
33,2,26,"Mu vy’ukuri, Imana Allah ntiterwa n’isoni mu gushikiriza ukuri, mu gutanga akarorero k’akantu kanzunya cane kurusha umubu canke kawusumba, mu kwerekana ko ibigirwamana ata co bishoboye. Abemeramana bo baramenya ko ari akarorero k’ukuri kavuye ku Mana yabo Rurema Allah, nayo abagarariji bavuga n’agasuzuguro n’akantu bati: “None Imana Allah Yashatse kuvuga iki mu gutanga aka karorero k’udukoko tugayitse!”. Burya Imana Allah, mu gutanga ako karorero, Ihubisha benshi kw’itebura ryabo, Ikarongora benshi ku gutahura kwabo intumbero yayo. Burya rero Imana Allah ntihubisha kiretse ibigaba birenga ku mabwirizwa yayo;",""
34,2,27,"Abatubahiriza isezerano ry’Imana Allah ryo kuyigamburukira no kuyisenga ari Imwe Rudende, inyuma y’aho Irishimangiye cane mu kurungika Intumwa (za nyakugira amahoro y’Imana Allah) no mu kumanura Ibitabu, bagaca ubucuti n’ubuvandimwe Imana Allah Yategetse ko bwungwa, bakanakwiragiza ubwononyi kw’isi. Abo rero, ni bo bahomvye ubuzima bwabo bwo kw’isi n’ubw’inyuma yo gupfa.",""
35,2,28,"Babangikanyamana! Ni gute mugarariza mugahakana isengwa ry’Imana Imwe Rudende Allah! Mu gihe mwari nk’abapfu mutararemwa, maze Imana Allah Irabarema, Ibaha ubuzima, inyuma y’aho Ibaka nya buzima urwanyu rugeze, murapfa. Hanyuma rero Ikazobasubiza kandi ubuzima mukazuka. Hanyuma ni kuri Yo muzosubizwa kugira muharurirwe muheze muhemberwe ivyo mwakoze.",""
36,2,29,"Imana Allah, ni Yo Yabaremeye ibiri mw’isi vyose ku neza yanyu. Hanyuma Irengera ku majuru Iraheza Irayarema ari indwi ata n’akanenge wobona mw’iremwa ryayo. Ni na Yo rero Nyenubumenyikurivyose.",""
37,2,30,"Ntumwa y’Imana! Ibuka igihe Imana yawe Rurema Allah Yabwira abamalayika Iti: “Mu vy’ukuri, Jewe Allah Ngira Nshire kw’isi ikiremwa kizokurakuranwa mu kuyibungabunga”. Na bo n’impungenge nyinshi bati: “Ugira Ushire kw’isi uwuzoyikorerako ubwononyi, akanasesa amaraso, mu gihe twebwe tukuninahaza mu kugushimagiza, tukagutagatifuza mu cubahiro cawe!”. Imana Allah Ibishura Iti: “Ni ukuri, Ndazi ivyo mutazi”.",""
38,2,31,"Imana Allah Imaze kurema Adamu, Ikamwigisha amazina y’ibiremwa vyose, Yaciye Ivyereka abamalayika, Ica Ibabwira Iti: “Enda nyabuna nimumbwire amazina y’ibi biremwa nimwaba muri imvugakuri ko Adamu ata co azomarira isi!”.",""
39,2,32,"Abamalayika barishura bati: “Ininahazwa ni iryawe Mana! Nta bumenyi dufise burenze ubwo Waduhaye. Mu vy’ukuri, Wewe ni We Nyenubumenyikurivyose, Intungane mu vyo Ukora”.",""
40,2,33,"Imana Allah Iraheza Ibwira Adamu Iti: “Babwire amazina y’ivyo biremwa batashoboye kumenya amazina yavyo”. Adamu amaze kubabwira amazina yavyo, Imana Allah Yaciye Ivuga Iti: “Sinababwiye ko Jewe Nzi neza ivyo mutazi binyegejwe mu majuru no mw’isi, Nkaba Nzi kandi neza n’ivyo muserura n’ivyo mwama muhisha!”.",""
41,2,34,"Ntumwa y’Imana! Ibuka maze wiganire abantu igihe Twebwe Allah Twatera iteka Adamu maze Tukabwiriza abamalayika hamwe na “Ibilisi[3]” Duti: “Nimwubamire Adamu mumuhe icubahiro kimukwiye”, baraheza bagamburukira rimwe barubama bose kiretse Ibilisi yanse kumwubamira, bitewe n’amanyama n’ishari n’akantu, gutyo aca acika umugarariji mu bandi.","[3] Ibilisi, ni izina ry’ikiremwa ca mbere mu majini, ni na co cahavuye kiba inkomoko y’amajini. Mu majini rero harimwo abemeramana hakabamwo n’abagarariji (amashetani)."
42,2,35,"Turaheza Tubwira Adamu Duti: “Ewe Adamu! Cumbika mu Bwami bw’ijuru, wewe hamwe n’umutambukanyi wawe “Hawa”, nimufungure rero n’akayabagu kenshi ivyo mushaka, mworohewe aho ari ho hose muri ubu Bwami. Mugabo rero, ntimuzohirahire kwegera iki giti ngo mufungure ivyamwa vyaco, mwohava muba mu birenganije ku kurenga ku mabwirizwa yanje”.",""
43,2,36,"Ni ho rero shetani yabata mu caha, bafungura kuri ca giti, gutyo iba imvo n’imvano yo kuva mu Bwami bw’ijuru no mu ngabirano barimwo. Duca Dutegeka Adamu n’umukenyezi wiwe hamwe na Ibilisi Duti: “Nimumanuke kw’isi, aho muzoba abansi hagati yanyu (mu ruvyaro rwa Adamu na Ibilisi). Kw’isi rero, ni ho mufise uburaro n’uburamuko no kuryoherwa gato kugeza ku musi wa rwo”.",""
44,2,37,"Aho ni ho rero Adamu yaheza akerekwa n’Imana yiwe Rurema Allah amajambo yokoresha mu kwigaya[4], maze araheza arigaya hamwe na Hawa. Gutyo Imana Allah Iramwumvira, Iramubabarira. Mu vy’ukuri, ni Yo Nyenukwumvirabigaya, Yumvira abayitakambira mu biremwa, Nyenimbabazi ku batoni bayo.","[4] Ayo majambo ari mu Aayah ya 23, mu gisomwa Al-A’raaf, aho Adamu na Hawa batakamba bati: “Mana yacu Rurema Allah! Twirenganije mu gufungura kuri kirya giti. Nutatugumiriza akabanga Ukatubabarira iki caha twakoze, Ukanatugirira impuhwe, nta nkeka ko tuzoba mu bantu bahomvye ubuzima bwabo”."
45,2,38,"Twabategetse Duti: “Nimumanuke mwese muve mu Bwami bw’ijuru. Nimwashikirwa n’uburongozi bwanje, abazokwemera bagakurikiza uburongozi bwanje, abo nta bwoba kuri bo bwo guhanwa, eka mbere bobo ntibazokwicwa n’intuntu y’ivyo basize kw’isi”.",""
46,2,39,"Nayo abazogarariza Imana Allah bagahakana bivuye inyuma Aayah n’ivyemezo vyacu vyerekana ko hakwiye gusengwa Imana Imwe Rudende Allah Itabangikanywa, abo ni bo bantu bo mu muriro. Bazowubamwo ibihe bidahera.",""
47,2,40,"Emwe Bene Israyeli[5]! Enda nimwibuke inema zanje Nabahaye, mwongere mwubahirize isezerano ryanje ryo kwemera Ibitabu n’Intumwa zanje ata kuvangura, maze mwubahirize amabwirizwa yanje, nanje Nzoheza Nubahirize isezerano ryanyu ryo kubagirira impuhwe kw’isi no kubaha impera y’ivyo mwakoze mu buzima bw’inyuma yo gupfa. Kandi ni Jewe rero gusa mutegerezwa gutinya mu kwiyubara ko mwohabwa ibihano vyanje hamwe mwongarariza,","[5] Biswe Bene Israyeli kuko bamuka kuri Yakobo mwene Ibrahimu, akaba ari we atazirwa Israyeli."
48,2,41,"Maze mwemere n’iyi Qor’ani Namanuriye Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah), ishimangira ukuri mu vyo mwahawe muri Tawurati. Ntimukabe rero aba mbere bayihakana, kandi ntimukagurishe Aayah zanje ku giciro gito cane mu kuyirengagiza canke ngo muzihindure. Kandi ni Jewe rero gusa mutegerezwa kugamburukira mu kwubahiriza amabwirizwa yanje;",""
49,2,42,"Kandi ntimukavange ukuri n’ikinyoma murementanya, ntimukanyegeze ukuri muzi mu biranga Intumwa y’Imana Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah), kandi muzi neza ko ibiyiranga vyanditswe mu Bitabu musoma.",""
50,2,43,"Nimube rero abislamu, maze mutsimbataze amasengesho-bwirizwa, mwongere mutange n’ishikanwa-bwirizwa, hanyuma mugamburukire Imana Allah, muyunamire hamwe n’abunama.",""
51,2,44,"Mbega mutegeka abantu gukora ivyiza mukiyibagira kwibwiriza ngo mube abislamu, mu gihe mwebwe nyene musoma Igitabu ca Tawurati canditswemwo ibiranga Intumwa Muhamadi n’uko mutegerezwa kuyemera! Mbega none ntimugira ubwenge ngo mutahure ko muca kubiri n’ivyo muvuga!",""
52,2,45,"Bemeramana! Mu gutunganya ivyanyu, nimwifashishe kwihangana mu gukora ivyo mwategetswe no mu kwirinda ivyo mwabujijwe, mwongere mwifashishe no gusenga isengesho rikwije ibisabwa ku mwanya waryo n’aho bigoye cane kiretse ku bantu bitonesha bakicisha bugufi ku Mana Allah;",""
53,2,46,"Abizeye ko bazohura n’Imana yabo Rurema Allah igihe bazutse, bakizera mu vy’ukuri ko bazosubira kuri Yo kugira baharurirwe baheze bahemberwe ivyo bakoze.",""
54,2,47,"Emwe Bene Israyeli! Nimwibuke inema zanje Nabahaye muheze mushime, mwongere mwibuke ko mu gihe canyu Nabateye iteka gusumba abandi, mu kurungikwa muri mwebwe Abavugishwamana benshi no guhabwa Ibitabu vya Tawurati n’Injili;",""
55,2,48,"Maze mwikingire ibihano vyo ku musi w’izurwa ry’ibiremwa, aho umuntu ata co azomarira uwundi, ntazokwemererwa no kugira uwo avugira, eka mbere nta n’ico kwigomboza mu bihano azotanga ngo cemerwe, n’aho yotanga amatungo y’isi yose, eka mbere bobo ntibazoronka n’uwubatabara ngo abakure mu bihano.",""
56,2,49,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe Tubakuyeko amagorwa y’abantu ba Firawuni yo gucurwa bufuni na buhoro, babaha ibihano bikomeye, bagakereragura abana banyu b’abahungu, bagasigaza abakobwa banyu ku gutinya ko mu bahungu hovamwo uwuzoza gukura ubutegetsi bwiwe. Muri ivyo vyose vyabashikiye rero, harimwo igeragezwa rikomeye rivuye ku Mana yanyu Rurema Allah.",""
57,2,50,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke kandi igihe Twabaciramwo kubiri ibahari ritukura hakaboneka inzira ihita, gutyo Tubakura mu bihano mwarimwo, Tunasomesha nturi Firawuni n’abantu biwe na mwe mwirabira n’amaso yanyu ukuntu basoma nturi.",""
58,2,51,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe Twaha Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) isezerano ryo kuvugana nanje ukuri kwamye no kumanurirwa Tawurati, inyuma y’amajoro mirongo ine, muca mufata igishusho c’inyana y’inka mwibumbiye muragisenga igihe Intumwa y’Imana Musa yari kwakira ubutumwa bwa Tawurati ku musozi Sinayi. Mwari mwirenganije pe!",""
59,2,52,"Mu nyuma yo gusenga nya gishusho c’inyana, Twarabababariye ivyaha vyanyu kugira ngo mushime ubutore n’ingabirano z’Imana Allah.",""
60,2,53,"Nimwibuke igihe Twaha Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) Igitabu ca Tawurati gitandukanya ukuri n’ikinyoma, ibirekuwe n’ibibujijwe, kugira ngo mube abagororotsi.",""
61,2,54,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) ibwira abantu bayo iti: “Bantu banje! Mu vy’ukuri, mwarirenganije mu gusenga igishusho c’inyana y’inka. Kubera ivyo rero, nimugaruke ku Mana Allah Umuremyi wanyu, maze mwigaye ibicumuro vyanyu mu kwicana hagati yanyu. Ivyo rero mu gihe mwobigira, ni ku neza yanyu imbere y’Imana Allah Umuremyi wanyu. Ico gihe mwaricanye hapfa ibihumbi mirongo indwi, gutyo Iyabaremye Irabababarira”. Mu vy’ukuri rero, ni Yo Nyenukwumvirabigaya, Yumvira abayitakambira mu biremwa, Nyenimbabazi ku batoni bayo.",""
62,2,55,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke igihe (abantu mirongo indwi muri mwebwe) mwabwira Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) muti: “Ntiturota twemera ko wewe uvugana n’Imana Allah tutabanje kwibonera nya Mana Allah utubwira amaso mu yandi”, haca hamanuka umuriro uvuye hejuru mwiboneye n’amaso yanyu, urabahonya;",""
63,2,56,"Hanyuma Tubasubiza ubuzima inyuma y’iryo honywa kugira ngo mushimire Iyabaremye ku nema Yabahaye.",""
64,2,57,"Nimwibuke n’igihe Tubarungikira igicu kibaha agatutu kugira ngo kibakingire izuba ryo mu bugaragwa igihe mwari mu gihano co kuzembagirika, Tubamanurira na “Manna[6]” na “Salwa[7]”. Turaheza Tubabwira Duti: “Nimurye rero mu vyiza Twabafunguriye maze mwubahirize idini ryanyuˮ, ariko rero nta ryo bubahirije. Si Twebwe Allah rero barenganije ku buhakanyi bwabo, mugabo ni bo nyene birenganije.","[6] Ibirirarira vy’ibiti bisosa nk’ubuki.
[7] Inyama z’ubwoko bw’inyoni."
65,2,58,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe Tubabwira Duti: “Nimwinjire mu gisagara ceranda “Bayti-l Maqdis”, muheze mufungure n’akayabagu mwisanzuye aho mushatse hose, maze mwinjire mu muryango mwunamiye Imana Allah, mwicishe bugufi, mugaca muvuga muti: “Dusavye ikigongwe cawe Mana!”, Turaheza Tubagirira ikigongwe ku vyaha vyanyu. Tuzokwongerereza indishi rero abagwaneza muri mwebwe.",""
66,2,59,"Ni ho rero abirenganije muri Bene Israyeli baca bahindura ijambo basabwe kuvuga “Ikigongwe cawe Mana”, baraheza binjira bakurura ikibuno hasi, bavuga n’agasuzuguro n’akantu bati: “Urutete mu mushatsi Mana!”. Duca Tumanurira abirenganije igihano kivuye hejuru, bitewe n’ubugaba bahora bagira bwo kurenga ku mabwirizwa y’Imana Allah.",""
67,2,60,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe mwanyoterwa, Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) ikabasabira ko mwohemburwa, Duca Tuyibwira Duti: “Kubita inkoni yawe kw’ibuye”, rica ricikamwo amariba cumi n’abiri angana n’imiryango yari ng’aho. Gutyo umuryango wose wikiza inyota kw’iriba ryawo bwite, Turaheza Tubabwira Duti: “Nimufungure “Manna” na “Salwa” mwongere munywe kw’iriba. Izo ni inema z’Imana Allah kuri mwebwe, kandi ntimukagenzwe n’ubwononyi kw’isi”.",""
68,2,61,"Nimwibuke inema zanje Nabahaye muheze mushime, mwibuke n’igihe mwavuga muti: “Ewe Musa! Ntidushobora kwama dufungura indya z’ubwoko bumwe! Dusabire Imana yawe Rurema Allah Iduhe mu vyimburwa vy’isi; nk’imboga, ibitunguru-sumu, intete nka “adasi” hamwe rero n’ibitunguru”. Intumwa Musa na yo ibishura iti: “Musaba guhindurirwa imfugurwa nziza cane ngo muronswe iziciriritse! Nimumanuke rero kw’isi ndimwa, muheze muronke ivyo musaba”. Bamaze kumanuka kw’isi ndimwa, baciye bugarizwa n’agasuzuguro hamwe n’ubukene bw’akataraboneka. Kubera ivyo rero, basubiye inyuma bakwiye gushavurirwa n’Imana Allah. Ivyo vyatewe n’uko bama bagararije Aayah z’Imana Allah, bakica n’Abavugishwamana ku kadenderezo ata kuri kwisunzwe. Ico gihano rero bagihawe kuko bagabitaniye Imana Allah, bagahohotera n’Intumwa zayo.",""
69,2,62,"Mu vy’ukuri, abemeye Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah) bakayikurikira, abayahudi[8], abanaswara[9] hamwe rero n’abatsimbataye kuri kameremere kabo batagira idini nyezina, abazokwemera vy’ukuri muri bo Imana Imwe Rudende Allah, Intumwa yayo Muhamadi n’umusi w’imperuka, bakanakora n’ibikorwa vyiza bitegetswe, abo rero bazosanga indishi yabo ku Mana yabo Rurema Allah, kandi nta bwoba kuri bo bwo guhanwa, eka mbere bobo ntibazokwicwa n’intuntu ku vyo basize kw’isi[10].","[8] Abayahudi, ni abemeye Musa bakanamukurikira. Ijambo “abayahudi”, risigura abigaye ku Mana Allah.
[9] Abanaswara, ni abemeye Isa mwene Mariyamu bakamukurikira bakanamutabara. Ijambo “abanaswara”, risugura abatabazi.
[10] Inyuma y’irungikwa ry’Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah) ku bantu bose, nta dini ryemewe ku Mana Allah atari idini ry’ubwislamu yaje ishimangira kuko ari ryo dini Imana Allah Yarungikanye Intumwa zose, rishingiye ku kwemera Imana Imwe Rudende Allah."
70,2,63,"Bene Israyeli! Nimwibuke n’igihe Twabaha isezerano ko mwemera Imana Imwe Rudende Allah mukubahiriza n’ibiri muri Tawurati, Tukarerura hejuru yanyu umusozi Sinayi, Tukababwira Duti: “Nimufate nkama ivyo Twabategetse muri Tawurati Tutarabakororerako uwo musozi, maze mwitwararike gusoma no gukurikiza ibiri muri yo kugira ngo mwikingire ibihano”.",""
71,2,64,"Inyuma y’ivyo vyose, mwarirengagije isezerano ryanyu, mureka kwubahiriza ivyo mwategetswe. Iyo hataba rero impano n’impuhwe z’Imana Allah ngo mwigaye, hanyuma mukababarirwa, ni ukuri mwari kuba mu bahomvye ubuzima bwo kw’isi n’ubw’inyuma yo gupfa.",""
72,2,65,"Ni ukuri mwaramaze kumenya inkuru y’ivyashikiye abarenze kw’itegeko ry’Imana Allah muri mwebwe mu gacimbiri “Ilat”. Bakoresheje urwenge mu kutubahiriza umusi w’isabato, aho batega insenga ku wa gatanu, bakazitegura ku musi w’iyinga, Turaheza Tubabwira Duti: “Nimuhinduke rero inkende musuzugurike”.",""
73,2,66,"Ako gacimbiri rero Twahanye, Twakagize inkebuzo yotuma uducimbiri two mu micungararo n’utuzokurikira mu nyuma tudasubira gukoresha urwenge mu kurenga ku mabwirizwa, Tukagira n’inyigisho ku bagamburukiramana babayeho ico gihe n’inyuma y’aho.",""
74,2,67,"Bene Israyeli! Nimwibuke n’igihe Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) yabwira abantu bayo muri ba sogokuru banyu, iti: “Mu vy’ukuri, Imana Allah Ibategeka kubaga inka”. Na bo n’amanyama n’akantu bakishura bati: “Mbega uriko uraduteburako?”. Na yo ibishura yicisha bugufi iti: “Ndikinze ku Mana Allah ko noba mu bakehabwenge babeshera Imana Allah”.",""
75,2,68,"Baraheza bavuga bati: “Dusabire Imana yawe Rurema Allah Idusobanurire ibiranga iyo nka”. Maze ibishura iti: “Mu vy’ukuri, Imana Allah Ibabwira Iti: “Ibiranga iyo nka, ntishaje, kandi si ishashi, ni iyiri hagati na hagati y’izo. Kubera ivyo rero, nimushire mu ngiro ivyo mutegetswe””.",""
76,2,69,"Baraheza barasubizayo bati: “Erega dusabire Imana yawe Rurema Allah Idutomorere neza uko isa!”. Na yo ibishura iti: “Mu vy’ukuri, Imana Allah Ibabwira ko iyo nka isa n’umuhondo uhishiye cane, ishajije, ibereye ijisho ku bayiraba”.",""
77,2,70,"Barasubira kandi bati: “Dusabire Imana yawe Rurema Allah Yongere Idutomorere kurusha iyo nka iyo ari yo. Mu vy’ukuri, inka zatuzazaniye, na twe ku bushake bw’Imana Allah turipfuza gushika ku nka ikenewe”.",""
78,2,71,"Intumwa y’Imana Musa (nyakugira amahoro y’Imana Allah) ibishura iti: “Ni ukuri, Imana Allah Ibabwira ko iyo nka atari inka yororewe kurima canke kuvomera, ntigira agatosi na gato, ifise ibara rimwe ry’umuhondo ritarobetse”. Ni ko guca bavuga bati: “Ubu rero uzanye ukuri nya kuri”. Baraheza barayibaga. Bahatswe no kutabikora bitewe n’ukuntu izimvye.",""
79,2,72,"Bene Israyeli! Nimwibuke kandi n’igihe bamwe muri mwebwe bica umuntu, maze mugacanamwo murondera kumenya uwamwishe. Imana Allah Izogaragaza ivyo mwari mwahishije kw’iyicwa rya nya muntu.",""
